sample_name	bam	population	colony	het
SRR5221668	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221668_minq20.nocig.realigned.bam	unclassified	C_3774	6.954861593454136e-5
SRR5221669	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221669_minq20.nocig.realigned.bam	unclassified	C_3774	1.419045935817811e-4
SRR5221670	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221670_minq20.nocig.realigned.bam	unclassified	C_3525	1.6388967497409305e-4
SRR5221671	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221671_minq20.nocig.realigned.bam	unclassified	C_3525	8.302574714283725e-5
SRR5221672	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221672_minq20.nocig.realigned.bam	unclassified	C_3525	1.1148342700425089e-4
SRR5221673	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221673_minq20.nocig.realigned.bam	unclassified	C_3523	1.3462090075864815e-4
SRR5221674	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221674_minq20.nocig.realigned.bam	unclassified	C_3523	8.47487357655162e-5
SRR5221675	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221675_minq20.nocig.realigned.bam	unclassified	C_3523	9.721743850156821e-5
SRR5221676	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221676_minq20.nocig.realigned.bam	unclassified	C_3522	1.094395159964792e-4
SRR5221677	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221677_minq20.nocig.realigned.bam	unclassified	C_3522	8.904498088173006e-5
SRR5221678	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221678_minq20.nocig.realigned.bam	unclassified	C_3522	1.1320720123769837e-4
SRR5221679	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221679_minq20.nocig.realigned.bam	unclassified	C_3521	8.564883339554605e-5
SRR5221680	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221680_minq20.nocig.realigned.bam	unclassified	C_3521	1.4668048416976485e-4
SRR5221681	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221681_minq20.nocig.realigned.bam	unclassified	C_3521	1.0168311425765277e-4
SRR5221683	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221683_minq20.nocig.realigned.bam	unclassified	C_3520	1.97793577315042e-4
SRR5221684	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221684_minq20.nocig.realigned.bam	unclassified	C_3520	1.9287616666940172e-4
SRR5221685	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221685_minq20.nocig.realigned.bam	unclassified	C_3520	9.128750235910568e-5
SRR5221686	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221686_minq20.nocig.realigned.bam	unclassified	C_3519	5.259072931321722e-4
SRR5221687	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221687_minq20.nocig.realigned.bam	unclassified	C_3519	1.1822294418199563e-4
SRR5221688	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221688_minq20.nocig.realigned.bam	unclassified	C_3519	1.1815190675590142e-4
SRR5221689	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221689_minq20.nocig.realigned.bam	unclassified	C_3518	1.0843094245203543e-4
SRR5221690	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221690_minq20.nocig.realigned.bam	unclassified	C_3518	1.2415849147244255e-4
SRR5221691	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221691_minq20.nocig.realigned.bam	unclassified	C_3518	7.046570331275471e-5
SRR5221692	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221692_minq20.nocig.realigned.bam	unclassified	C_3517	1.649006953685321e-4
SRR5221693	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221693_minq20.nocig.realigned.bam	unclassified	C_3517	1.0435020679201945e-4
SRR5221694	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221694_minq20.nocig.realigned.bam	unclassified	C_3517	8.51024469093172e-5
SRR5221695	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221695_minq20.nocig.realigned.bam	unclassified	C_3516	2.9604945475091704e-4
SRR5221696	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221696_minq20.nocig.realigned.bam	unclassified	C_3516	1.0061546648594e-4
SRR5221697	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221697_minq20.nocig.realigned.bam	unclassified	C_3516	9.519116885205993e-5
SRR5221698	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221698_minq20.nocig.realigned.bam	unclassified	C_3510	4.3098029953760384e-4
SRR5221700	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221700_minq20.nocig.realigned.bam	unclassified	C_3510	1.3677293281411462e-4
SRR5221701	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221701_minq20.nocig.realigned.bam	unclassified	C_3508	1.268323727307866e-4
SRR5221702	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221702_minq20.nocig.realigned.bam	unclassified	C_3508	1.527261023312165e-4
SRR5221704	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221704_minq20.nocig.realigned.bam	unclassified	C_3507	8.815304119173895e-5
SRR5221705	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221705_minq20.nocig.realigned.bam	unclassified	C_3507	1.1945390670688496e-4
SRR5221706	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221706_minq20.nocig.realigned.bam	unclassified	C_3507	9.398779438537335e-5
SRR5221707	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221707_minq20.nocig.realigned.bam	unclassified	C_3505	1.8744174784613926e-4
SRR5221708	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221708_minq20.nocig.realigned.bam	unclassified	C_3505	6.952318926608285e-5
SRR5221709	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221709_minq20.nocig.realigned.bam	unclassified	C_3505	1.0677612261838391e-4
SRR5221710	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221710_minq20.nocig.realigned.bam	unclassified	C_3504	6.71651173818255e-4
SRR5221711	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221711_minq20.nocig.realigned.bam	unclassified	C_3504	7.272764547350622e-5
SRR5221712	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221712_minq20.nocig.realigned.bam	unclassified	C_3504	9.520758868374513e-5
SRR5221713	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221713_minq20.nocig.realigned.bam	unclassified	C_3498	1.776900556141086e-4
SRR5221714	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221714_minq20.nocig.realigned.bam	unclassified	C_3498	1.1232925041262426e-4
