Population	NSites	Estimate	Value	ID
BM	217653070	Nucleotide_Diversity	0.00288603480031654	PopGen
FAS	217755954	Nucleotide_Diversity	0.0029127184676916	PopGen
MAS	217765813	Nucleotide_Diversity	0.00302691453096467	PopGen
BM	217653070	Watterson_Theta	0.00214645034716419	PopGen
FAS	217755954	Watterson_Theta	0.00217683189976542	PopGen
MAS	217765813	Watterson_Theta	0.00221382651552207	PopGen
BM	217653070	Tajima_D	1.2298530253252	PopGen
FAS	217755954	Tajima_D	1.17184835761541	PopGen
MAS	217765813	Tajima_D	1.27597104291308	PopGen
