sample	KARM	MORE	RISO	MÅSE	KALI	KALM	IDEI	BLEK	IDEO
KARM	0	0.00897	0.02854	0.03858	-0.00103	0.00616	0.01939	0.02846	0.02992
MORE	0.00897	0	0.02436	0.02665	-0.01208	0.00323	0.01384	0.02007	0.02704
RISO	0.02854	0.02436	0	0.00127	-0.02524	-0.02281	-0.01823	-0.00175	-0.00271
MÅSE	0.03858	0.02665	0.00127	0	-0.01027	-0.00329	-0.01563	0.01169	0.01203
KALI	-0.00103	-0.01208	-0.02524	-0.01027	0	0.01154	0.0363	0.03074	0.05908
KALM	0.00616	0.00323	-0.02281	-0.00329	0.01154	0	0.02917	0.03007	0.05111
IDEI	0.01939	0.01384	-0.01823	-0.01563	0.0363	0.02917	0	0.02118	0.02393
BLEK	0.02846	0.02007	-0.00175	0.01169	0.03074	0.03007	0.02118	0	0.0258
IDEO	0.02992	0.02704	-0.00271	0.01203	0.05908	0.05111	0.02393	0.0258	0
