sample	KARM	MORE	RISO	MÅSE	KALI	KALM	IDEI	BLEK	IDEO
KARM	0	0.009	0.02799	0.03881	-0.00103	0.00616	0.01913	0.02809	0.02992
MORE	0.009	0	0.02356	0.02706	-0.01202	0.00321	0.01353	0.01943	0.02628
RISO	0.02799	0.02356	0	0.00131	-0.02548	-0.02323	-0.01807	-0.00175	-0.00271
MÅSE	0.03881	0.02706	0.00131	0	-0.01021	-0.00327	-0.01507	0.01156	0.01185
KALI	-0.00103	-0.01202	-0.02548	-0.01021	0	0.01153	0.03534	0.03074	0.05825
KALM	0.00616	0.00321	-0.02323	-0.00327	0.01153	0	0.02881	0.02972	0.05111
IDEI	0.01913	0.01353	-0.01807	-0.01507	0.03534	0.02881	0	0.02131	0.02397
BLEK	0.02809	0.01943	-0.00175	0.01156	0.03074	0.02972	0.02131	0	0.02576
IDEO	0.02992	0.02628	-0.00271	0.01185	0.05825	0.05111	0.02397	0.02576	0
