sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
unclassified-kra_SRR26417128_.hist	477279006	103774068	20089705	7273849	4098315	2588181	2239277	1286732	506649	507483	591964	668918	470831	260275	134683	156577	248362	331557	189065	102934	66767	29799	141544	275224	45543	25301	5712	1838	112635	215923	63976	19008	7602	876	277	16	3	152207	157650	8757	2918	1194	633	236	38	11	4	0	0	253245
unclassified-kra_SRR26417059_.hist	451755697	97904253	22229134	7794485	4140799	2642216	1500707	1340563	1593903	812889	393581	194104	149783	247315	306853	444034	507416	211422	33634	18311	14138	23145	109938	213768	233287	129603	102430	32985	10994	5496	1627	482	192	21	196187	179173	51511	28096	5618	311	102	41	20	6	0	0	0	0	0	329661
unclassified-kra_SRR26417309_.hist	432704026	95316526	22022935	7762130	3970485	2536256	1482694	1324472	1669890	851643	412345	203358	182537	301398	373956	541135	425709	177377	28218	15362	20731	33939	161209	313462	49449	158236	159322	51306	17101	8549	2532	751	299	33	127051	227440	65388	35665	7132	395	130	52	26	9	0	0	0	0	0	327847
unclassified-kra_SRR26417015_.hist	480381340	95416509	21235902	7505194	4058888	2591592	1532747	1369183	1632756	832704	403175	198836	187571	309709	384268	556058	409827	170760	27165	14789	21317	34898	165767	322325	219248	121803	27503	8855	2950	1474	435	128	29706	89117	382847	23926	6878	3750	749	40	12	4	1	0	0	0	0	0	0	397679
unclassified-kra_SRR26417206_.hist	417863847	100864834	23374736	8313521	4209854	2668491	2104248	1879698	740130	377465	440302	497540	691732	482378	249615	79422	89309	119225	250999	360876	234081	73149	31697	9273	18986	60757	144601	275628	91875	45936	13609	4042	1616	185	58	2	179831	185194	37037	2056	684	279	147	54	8	1	0	0	0	286092
unclassified-kra_SRR26417210_.hist	466664630	95695333	21481164	7604393	4126464	2632321	1659699	1482588	1651713	842372	407856	201144	247396	408490	506829	484659	279390	116411	18519	33550	63373	103750	492812	144202	8481	14424	34328	91542	136223	68110	20179	5995	2397	275	86	291818	83896	45760	9151	507	168	67	35	12	1	0	0	0	0	334529
unclassified-kra_SRR26416943_.hist	413538802	118361619	26044166	9235225	5028452	3159659	2005845	985501	696843	797188	906020	446827	203962	336774	417849	330539	190545	79392	126065	310313	201283	62900	50435	98067	170760	94865	21420	15324	200409	100203	29689	8820	3527	405	126394	109511	31483	17171	3433	189	62	111647	59262	22222	3702	1233	551	182	59	167355
unclassified-kra_SRR26417408_.hist	458712078	107143409	23495092	8353716	4571924	2907844	1974229	1763554	1300077	663038	321027	362759	504345	746192	386131	122859	107709	143788	302712	266692	172988	54057	52063	101234	216324	120179	27136	8737	13410	187745	155944	46334	18532	2136	678	41	10	141509	211684	11759	3918	1605	850	318	52	16	6	1	0	293006
unclassified-kra_SRR26417077_.hist	468291935	87582666	19729482	6986684	3793749	2421401	1535189	1371365	1663910	848593	410868	202630	154847	255677	317228	459047	517388	215577	34295	18670	12109	18237	86627	168441	336884	187157	42260	13608	4535	2266	670	198	78	8	373079	80103	23028	12560	2511	138	45	17	8	2	0	0	0	0	0	377443
unclassified-kra_SRR26417064_.hist	473926464	101173496	22703208	7991006	4283321	2732561	1593886	1423798	1450392	739699	358144	314699	437527	680338	352054	112016	64573	31213	65711	161750	305527	457155	198099	57965	3408	1892	426	136	44	21	5	0	593760	68495	21792	1361	390	211	41	1	0	0	0	0	0	0	0	0	0	419629
unclassified-kra_SRR26417357_.hist	452450653	106693239	24612185	8636206	4464603	2854385	1548781	1383506	1933216	985939	477368	235426	194729	321528	398933	577278	332783	138658	22058	36134	68253	111739	530761	189537	11148	6192	1397	448	148	73	20	5	474009	143852	45770	2859	821	446	88	3	0	0	0	0	0	0	0	0	0	423203
unclassified-kra_SRR26417236_.hist	484468541	88682924	17991532	6514581	3670746	2327829	1916118	1711644	702187	358114	401427	453612	630659	471963	244226	77707	80206	107072	225415	325638	211224	66006	28601	36563	78130	43405	68357	182286	144548	72273	21413	6361	2543	292	92	4	157251	179262	35851	1990	662	270	142	52	7	1	0	0	0	283502
unclassified-kra_SRR26417167_.hist	489569038	98217135	21743031	7693265	4170725	2658929	1654801	1478213	1578009	804783	389656	192168	215090	355148	440646	547687	315724	131550	20927	11392	20921	34251	162692	316345	246980	137210	30981	9976	3324	1661	491	144	56	5	340322	124320	35741	19494	3897	215	70	28	13	4	0	0	0	0	0	369537
unclassified-kra_SRR26417055_.hist	427891305	100135519	23268353	8352443	3945191	2532566	1258851	1124516	1698598	1458739	706287	348324	133730	149433	185407	268293	425568	568122	90382	49207	40288	65956	313293	316386	18609	10337	2333	750	249	123	35	9	551849	120777	38428	2400	689	374	73	3	0	0	0	0	0	0	0	0	0	467164
unclassified-kra_SRR26416997_.hist	460572631	155237353	28873617	10381221	5789813	3645441	2418033	1188015	705129	806666	940953	772216	296474	231554	287297	415735	420892	175370	42755	105243	198793	325453	141028	41265	22136	70835	168587	119308	39768	19883	76536	153072	94683	10921	3474	216	61	32	211939	73002	24333	9971	5291	1983	329	108	47	14	3	262613
unclassified-kra_SRR26417674_.hist	476481011	103262710	20778525	7505575	4214835	2670373	2150207	1673657	659001	477515	557007	629417	614155	339504	175682	149989	237914	317608	245383	133596	86656	27079	120455	234217	133074	73929	16692	5374	6874	96242	229761	68268	27306	3149	1000	61	16	8	288658	22168	7388	3027	1605	601	99	32	13	3	0	272273
unclassified-kra_SRR26416941_.hist	456724090	83829105	18835097	6698941	3668257	2336452	1650249	1474147	1358000	692579	335329	217033	301741	498223	600840	191175	110206	45918	82521	203128	383685	119900	51956	15202	12039	38524	91687	244499	114089	57043	16900	5020	2007	230	72	3	183214	162397	32478	1803	600	244	129	47	6	1	0	0	0	295738
unclassified-kra_SRR26417402_.hist	484124108	117667058	22979397	8349074	4725998	2980065	2521472	1238836	613935	702341	819261	910772	349670	193297	191167	276629	438791	369043	58710	57381	108385	177442	240890	70486	25102	80326	191177	61564	20520	10259	89281	178562	71424	8238	2620	162	45	23	216302	68193	22730	9314	4943	1852	307	101	44	13	3	271317
unclassified-kra_SRR26417316_.hist	464897921	96029665	22251910	7911701	3856072	2475085	1232221	1100727	1662665	1376892	666659	328780	126227	182700	226683	328023	520312	216795	38001	93541	176688	289264	288742	84489	4968	2759	622	199	65	31	51113	102225	495481	57157	18185	1135	325	176	34	0	0	0	0	0	0	0	0	0	0	467769
unclassified-kra_SRR26417139_.hist	430898956	75151920	17357014	6110781	3272414	2083597	1463034	1306910	1168108	595734	288439	189604	263607	435257	540040	171829	99053	41271	57237	140891	266127	202491	87745	25674	6628	21210	50479	134610	142339	71168	21086	6264	2504	287	90	6393	191832	104634	20925	1161	386	157	82	29	3	0	0	0	0	255634
unclassified-kra_SRR26417336_.hist	455510041	159358104	29944910	10812175	6067961	3819006	2822691	1386830	756630	865583	1009678	782103	300270	252535	313330	453406	372600	155249	64862	159659	301578	199658	86517	26944	57575	184240	165885	53419	17805	8901	82247	164493	124476	14358	4567	284	80	43	165542	107759	35918	14719	7812	2928	487	161	71	22	6	273150
unclassified-kra_SRR26417350_.hist	452935457	161264708	30570336	10926006	6035052	3816973	2619363	1589307	625788	715901	835078	941709	361548	218680	271324	392621	471347	196393	42329	104194	196810	322207	139622	40854	24568	78619	187113	137523	45840	22919	6789	2016	272829	46313	14735	919	263	142	30677	180785	60260	24696	13107	4914	818	271	120	39	12	251352
unclassified-kra_SRR26417333_.hist	432831509	90714308	21049165	7517656	3747413	2393134	1566413	1399257	1848351	942658	456412	225091	133575	220553	273648	395984	628112	261712	41635	22666	14701	21140	100417	195255	306823	170456	38489	12393	4130	2064	610	180	71	7	476859	29802	8567	4672	933	50	15	5	1	0	0	0	0	0	0	381033
unclassified-kra_SRR26417017_.hist	464787066	86519952	19631581	6940566	3756200	2397644	1518574	1356522	1622482	827465	400638	197584	165000	272441	338027	489144	493688	205702	32724	17815	14509	23752	112823	219378	298700	165943	37470	12065	4020	2009	594	175	69	6	351467	103583	29779	16242	3247	179	58	23	11	3	0	0	0	0	0	346168
unclassified-kra_SRR26417046_.hist	453280271	117090280	20009192	7395548	4151262	2604268	1769165	869217	621550	711053	829422	660683	253654	141161	175143	253442	402010	306583	48773	26564	50176	82145	390190	114174	6715	3729	841	269	132237	225806	66904	19878	7950	916	290	17	3	111190	181773	10097	3364	1378	730	272	44	13	5	0	0	259655
unclassified-kra_SRR26416958_.hist	469732287	96771834	22343405	7859015	3911810	2514455	1095576	978663	1478286	1573501	761852	375727	144251	79741	97865	141616	224632	299877	562502	306250	198647	62076	26898	7869	461	255	56	17	4	1	460029	248824	99528	11480	3651	227	64	34	5	0	0	0	0	0	0	0	0	0	0	451050
unclassified-kra_SRR26417054_.hist	416820572	96431222	22249957	7812139	3937622	2514384	1374975	1228247	1531479	781053	378167	186502	160097	264345	327982	474609	390836	162847	25906	14103	16865	27609	131145	255004	221640	123132	27803	8952	2983	1490	440	129	50	4	374838	60504	17393	9486	1896	104	33	12	5	1	0	0	0	0	0	328699
unclassified-kra_SRR26417248_.hist	455745979	91310022	19325056	6927117	3845075	2441404	1835463	1639596	992438	506142	275676	311512	433097	715113	370049	117741	67873	49127	103426	254586	325114	101597	127150	37204	4103	13130	31249	83331	232247	116122	34405	10221	4087	470	148	8	10040	264398	52878	2936	977	399	211	78	12	3	0	0	0	261080
unclassified-kra_SRR26417170_.hist	460800325	164764907	27191699	9965764	5584706	3500371	2060689	1012446	780061	892389	1040946	513370	222257	366982	455328	366871	211489	102223	215206	282788	183429	57320	46692	90789	194004	206210	46562	14993	4996	2497	154676	177217	70886	8176	2600	161	45	23	161430	109015	36337	14891	7903	2962	492	163	72	23	6	265258
unclassified-kra_SRR26417038_.hist	431375502	106558444	24360131	8559112	4569331	2896918	2051908	1832944	744295	379589	442780	500340	695625	462990	239583	76230	102913	137385	289231	308408	200047	62513	27088	28287	60444	193422	43675	14063	178231	123701	36651	10889	4354	501	158	8	47149	262644	52527	2917	971	397	209	77	11	2	0	0	0	269252
unclassified-kra_SRR26417126_.hist	463377142	103809377	19924004	7212247	4062103	2571487	2067874	1520269	598605	387713	452255	511048	710512	426621	220763	70241	111153	148385	312389	272120	176509	55158	26009	50573	108068	144606	32652	10514	113548	186333	55209	16403	6560	755	239	13	3	233808	89024	4944	1647	674	356	132	21	6	1	0	0	275891
unclassified-kra_SRR26417307_.hist	470759267	160795863	30312421	10933422	6126971	3840168	2000159	982707	1117950	1278934	688620	339610	436013	719928	372540	134990	214122	285846	321396	174981	113500	35467	168471	327582	54153	30084	46189	123172	163022	81510	24150	7174	60043	180129	85536	5345	1535	836	166	118634	109548	44895	23829	8935	1488	495	220	72	23	249048
unclassified-kra_SRR26417033_.hist	454184371	102343464	23604152	8278411	4392517	2802284	1696114	1515117	1702294	868168	420346	207304	232305	383573	475913	566055	326313	135962	21629	17421	32906	53872	255891	497565	98704	54834	12381	3986	1327	662	195	57	53195	159586	341652	21352	6137	3346	668	36	11	3	0	0	0	0	0	0	0	389828
unclassified-kra_SRR26417084_.hist	496203867	93929512	21557512	7563414	4023894	2576461	1388557	1240380	1873613	1055402	511000	252013	158552	261794	324818	470030	410461	171024	27207	35607	67258	110111	523027	153043	9001	4999	1128	362	119	58	16	3	578306	66712	21225	1325	380	206	40	1	0	0	0	0	0	0	0	0	0	450457
unclassified-kra_SRR26417157_.hist	485519264	95096040	18497741	6687872	3760501	2384023	1876649	1676387	678076	345817	403386	455825	633735	456601	236276	75178	71452	95386	200812	331917	215296	67279	29153	11739	25083	80267	72933	194488	113640	56819	16834	5001	1999	229	72	3	131128	172434	34485	1914	637	260	137	50	7	1	0	0	0	258408
unclassified-kra_SRR26417081_.hist	480708097	97405480	22119445	7794697	4189160	2680750	1489557	1330602	1935455	987081	477921	235698	200208	330575	410156	593520	373498	155623	24757	19010	35908	58786	279233	542953	31937	17742	4005	1288	428	213	62	17	117835	353506	145632	9101	2615	1425	284	14	3	0	0	0	0	0	0	0	0	455607
unclassified-kra_SRR26417631_.hist	467288768	101867526	19149608	6927517	3898371	2471857	1874556	1674517	659340	357762	417319	471569	655625	366791	189802	75248	119359	159340	335453	232999	151133	47228	20464	26208	56003	179211	101538	32697	13379	187316	55500	16489	6594	759	240	14	48011	221602	44319	2461	819	334	176	65	9	2	0	0	0	272695
unclassified-kra_SRR26417194_.hist	471852501	90221691	20128282	7136571	3884838	2474022	1663721	1486181	1411760	719997	348605	173147	240726	397477	493165	448786	258711	107795	17148	29271	55288	90515	429945	125806	7399	21506	51184	136490	69832	34915	10344	3072	1228	140	172843	181887	52291	28521	5703	315	104	41	21	6	0	0	0	0	0	330534
unclassified-kra_SRR26417364_.hist	474876432	93696557	19832588	7044243	3847651	2453391	1485111	1326631	1493062	761460	368680	181824	142412	235145	291753	422183	487342	203058	32303	17586	12741	20858	99077	192650	271541	150855	34063	10968	3655	1826	540	159	62	6	369236	60317	17340	9457	1890	104	33	12	5	1	0	0	0	0	0	338408
unclassified-kra_SRR26417083_.hist	461198124	90513429	20784908	7306767	3905554	2499263	1408463	1258162	1900474	969240	469283	231438	145714	240596	298517	431971	523964	218317	34731	18908	30656	50188	238393	463542	52974	29429	6644	2138	711	354	104	29	118711	356132	113313	7081	2034	1108	220	11	2	0	0	0	0	0	0	0	0	420576
unclassified-kra_SRR26417286_.hist	487919769	105052219	20563585	7454440	4207074	2657267	2336008	1238371	518010	592603	691254	781116	359852	198925	186990	270584	429202	226558	36042	55965	105712	173066	334024	97738	5748	3192	719	230	236587	174556	51719	15366	6145	707	224	13	2	176929	151737	8428	2808	1150	609	227	36	11	4	0	0	271456
