sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
unclassified-kra_SRR26417330_.hist	463501278	98688440	20771789	7438204	4121753	2612874	2004500	1790595	725808	370161	431781	487912	678346	442146	228796	77748	123323	164633	346239	188507	122273	38209	82799	160997	88953	49417	11157	3592	208762	139954	41466	12320	4927	567	179	10	1	276676	55334	3073	1023	418	221	81	12	3	0	0	0	254651
unclassified-kra_SRR26417000_.hist	476955246	95051966	21691672	7581496	3994653	2559478	1241233	1108778	1674826	1153439	558468	275422	105741	145694	180768	261581	414920	553907	88120	47975	31118	9723	43083	83771	179008	293433	66258	21336	7111	3554	1052	311	15216	45647	359630	22475	6460	3523	703	38	11	3	1	0	0	0	0	0	0	380037
unclassified-kra_SRR26417257_.hist	450377539	99274211	22553411	7934108	4247836	2710812	1601262	1430387	1688157	860959	416855	205582	173584	286615	355613	514593	469738	195723	31136	16951	26915	44063	209299	406970	23938	21288	50664	135104	75372	37685	11164	3316	1325	151	84864	250923	72139	39347	7868	436	144	58	29	10	0	0	0	0	0	347925
unclassified-kra_SRR26417299_.hist	481866452	110130449	21113075	7633205	4291785	2708253	2253412	1107134	518015	592608	691260	781123	299894	165780	177367	256660	407115	308465	49073	27522	51986	85108	404262	118291	6957	10652	25352	67604	90473	45235	202817	60262	24103	2779	883	54	14	6	220139	50009	16668	6830	3624	1358	225	74	32	9	2	230605
unclassified-kra_SRR26417151_.hist	478360950	86687140	18583657	6637314	3661956	2331116	1612336	1440279	1226302	625413	302809	207436	288399	476194	590832	254908	146946	61226	34858	85805	162076	265342	225663	66031	3883	12425	29571	78855	170158	85078	25207	7488	2994	344	108	172949	100908	55039	11006	610	202	81	42	14	1	0	0	0	0	327484
unclassified-kra_SRR26417001_.hist	466755435	94766783	20421229	7348518	4103677	2603902	2111941	1886570	742836	439168	512276	578871	747319	413117	213775	101054	160292	213985	405481	220761	143195	44747	24128	46915	100251	315871	71324	22967	7654	3826	220693	65573	26228	3024	961	59	15	277829	68967	3830	1275	521	276	102	16	4	0	0	0	319142
unclassified-kra_SRR26416965_.hist	396863657	24247193	5701444	2307012	1070427	648572	304218	271753	410487	469596	547770	618979	276194	152679	79006	25137	21326	28469	59935	147531	278669	170423	73849	21608	1270	704	158	49	15	6	1587	3173	332268	38329	12194	761	217	117	22	0	0	0	0	0	0	0	0	0	0	251610
unclassified-kra_SRR26417447_.hist	456798499	76469734	17338772	6156555	3360775	2141446	1514778	1353132	1264158	644719	312157	211719	294353	486024	603029	191871	110607	46085	47572	117100	221188	302366	131024	38338	2254	5073	12074	32197	248196	124097	36768	10924	4368	502	159	8	1	264914	52981	2942	979	400	211	78	12	3	0	0	0	259058
unclassified-kra_SRR26416985_.hist	465101904	131031580	22336430	8189472	4619621	2905895	2093742	1028686	577993	661223	771297	851939	327083	180810	150382	217612	345176	460801	98372	53557	34738	39170	186057	361777	43905	24390	5506	1772	16537	231525	145552	43247	17297	1994	633	38	10	56744	252686	14037	4678	1916	1016	380	62	19	7	1	0	274993
unclassified-kra_SRR26417096_.hist	451490077	89141675	19282695	6865217	3766534	2397374	1617757	1445121	1223059	623759	302008	214778	298607	493048	611744	194644	112206	46751	49013	120647	227888	302621	131134	38370	2860	9151	21779	58078	228578	114288	33862	10060	4023	463	146	8	94904	188914	37781	2097	698	285	150	55	8	1	0	0	0	272700
unclassified-kra_SRR26417043_.hist	435632107	87920731	19351113	6863161	3738233	2379257	1580900	1412198	1178243	600903	290942	219114	304634	503000	581872	185140	106726	44468	44413	109324	206501	311693	135066	39521	2323	4674	11123	29660	250194	125096	37064	11012	4403	507	160	9	19593	240776	48154	2674	890	363	192	71	10	2	0	0	0	268433
unclassified-kra_SRR26417297_.hist	472057344	98609689	20312358	7298493	4066541	2577370	2013116	1680561	661720	387957	452541	511370	710960	393018	203374	80677	127970	170836	359655	195811	127011	39690	70085	136275	131521	73066	16497	5311	170131	171893	50930	15132	6051	697	220	12	2	264398	74379	4131	1376	562	297	110	17	4	1	0	0	269898
unclassified-kra_SRR26416936_.hist	462997851	158904066	28774923	10428116	5868649	3686809	2292354	1126267	833436	953450	1112172	558841	214554	325549	403921	509698	293825	122426	68018	167428	316253	187715	81342	42371	90541	289730	65422	21067	7021	3509	189192	182927	73170	8439	2684	166	46	24	165368	125336	41777	17121	9086	3406	566	187	83	26	7	282495
unclassified-kra_SRR26417159_.hist	471360038	91219320	18843789	6784099	3791267	2404102	1908862	1705162	708024	361091	421202	475957	661726	395206	204506	74882	118778	158565	333820	215531	139803	43687	22472	43694	93369	218733	49390	15904	14410	201748	59776	17760	7103	818	259	15	22791	247147	49428	2745	914	373	197	72	11	2	0	0	0	270504
unclassified-kra_SRR26417016_.hist	482418126	93234575	18920796	6892074	3913876	2473523	2325054	1403526	552637	488587	569922	644011	646691	357490	184990	100050	158699	211858	343723	187137	121385	37931	114872	223362	22770	12649	30104	80277	241890	120944	35834	10646	4257	490	154	8	35994	281154	56229	3122	1039	425	224	83	12	3	0	0	0	299049
unclassified-kra_SRR26417377_.hist	473432155	89919606	17931852	6513284	3685477	2331347	2066695	1412564	556196	398459	464790	525212	660479	365112	188934	80526	127729	170515	331245	180343	116978	36554	106757	207582	12209	8179	19467	51911	239173	119585	35431	10526	4209	484	153	8	1	288148	57628	3200	1065	435	230	85	13	3	0	0	0	276912
unclassified-kra_SRR26417155_.hist	404195192	86061020	19938859	7085528	3710000	2352262	1961621	1752291	699249	356616	415982	470059	653524	472255	244377	77755	79991	106786	224811	358476	232524	72662	31486	9212	13595	43505	103543	276114	96226	48112	14254	4234	1692	194	60	2	208409	131776	26354	1463	486	198	104	38	5	0	0	0	0	283872
unclassified-kra_SRR26417608_.hist	449210914	139755255	24233374	8762430	4927605	3101164	2183533	1072802	531787	608364	709639	801891	315552	174436	166473	240895	382109	391715	62317	33927	38526	63073	299597	238325	14018	7786	1757	564	82110	245127	72629	21579	8630	994	315	18	4	169619	135802	7543	2513	1029	545	203	32	9	3	0	0	262314
unclassified-kra_SRR26416959_.hist	456338819	89261374	18930786	6808311	3798754	2411101	1899502	1696801	839329	428056	399440	451366	627536	459609	237833	80332	127422	170105	358115	194972	126467	39520	45124	87740	187489	106271	23995	7726	27882	232287	68824	20449	8178	942	298	17	4	276890	55377	3075	1024	418	221	81	12	3	0	0	0	277885
unclassified-kra_SRR26417457_.hist	465803401	103410712	20814974	7503971	4202049	2660078	2145298	1513179	595813	480860	560909	633826	626112	346114	179103	100870	160000	213595	350743	190959	123864	38706	36476	70925	151556	213874	48293	15551	5182	2590	244878	72759	29102	3356	1066	65	17	51537	239174	13286	4427	1813	961	359	58	18	7	1	0	279821
unclassified-kra_SRR26417184_.hist	469506653	168504499	27981436	10314006	5761826	3605039	1646923	867896	1310971	1311029	634769	313052	391751	646844	549756	174921	135993	181546	382202	231844	150384	46994	223221	108383	28752	92006	218974	143843	47946	23972	7101	2109	142211	173139	55088	3442	988	538	106	75380	127058	52072	27639	10363	1726	574	256	84	27	237614
unclassified-kra_SRR26417632_.hist	477440188	90135693	19410669	6922693	3809740	2427733	1606980	1435495	1436101	732410	354615	186923	259879	429102	532404	281850	162477	67698	83633	205865	280821	87755	38026	17830	38099	121918	290165	93442	31146	15572	4612	1369	546	62	18	277824	84601	46145	9228	511	169	68	35	12	1	0	0	0	0	319730
unclassified-kra_SRR26417124_.hist	465212712	97887123	22113258	7800731	4202046	2678955	1671538	1493163	1536962	783849	379521	187170	252489	416900	517264	439937	253610	105669	35139	86496	163380	267477	115905	33914	25511	81637	194295	171636	57211	28604	8474	2517	1005	115	35	217509	143760	78413	15681	870	289	117	61	22	2	0	0	0	0	345376
unclassified-kra_SRR26417448_.hist	469310390	86023648	17375865	6270302	3516182	2228214	1809982	1616834	636627	324679	378413	427606	594502	407473	210854	67089	103216	137789	290082	157933	102442	32012	129589	198243	11660	6477	1461	2906	228260	114129	33815	10046	4017	462	146	8	1	236172	47233	2623	873	356	188	69	10	2	0	0	0	240851
unclassified-kra_SRR26417407_.hist	466704951	87755350	18505766	6650411	3706350	2351378	1858131	1659845	843653	430262	361978	409034	568682	488632	252851	80451	86011	114821	241728	287117	186237	58198	25218	28401	60690	194207	43852	14120	29971	210608	62401	18540	7415	854	270	15	3	252651	50529	2806	934	381	201	74	11	2	0	0	0	263386
unclassified-kra_SRR26417032_.hist	451082729	88764777	20103991	7113772	3856795	2453862	1715985	1532868	1158974	591075	286184	284662	395766	653474	447759	142468	82127	53769	113197	278638	372219	116317	50403	14747	9730	31135	74101	197601	163973	81985	24291	7216	2885	331	104	5	73984	241735	48346	2684	893	365	192	71	10	2	0	0	0	281907
unclassified-kra_SRR26417018_.hist	481754014	87184802	19006605	6799259	3761530	2395077	1712436	1529697	1345720	686316	332297	197272	274268	452860	561881	401535	231472	96445	21052	51821	97883	160248	329817	96508	19012	60840	144799	130938	43645	21821	6464	1919	766	87	103134	241439	69412	37860	7571	419	138	55	28	9	0	0	0	0	0	349367
unclassified-kra_SRR26417227_.hist	488966229	99342210	22020855	7725263	4108805	2628810	1307761	1168206	1764594	899942	435730	214891	151835	250703	311057	450117	390741	162807	25900	23388	44178	72325	343543	107749	12902	41287	98263	165486	55161	27579	8170	2426	969	110	34	203844	119782	65334	13065	724	240	97	50	18	2	0	0	0	0	305830
unclassified-kra_SRR26417369_.hist	460281395	89075340	20202549	7139986	3861380	2464082	1559975	1393506	1580924	806270	390376	192523	217135	358524	444835	505485	291396	121414	19314	27164	51310	84001	399008	116754	47398	151675	92843	29897	9964	4981	1474	437	173	520	496374	31022	8917	4863	971	52	16	5	2	0	0	0	0	0	0	384412
unclassified-kra_SRR26417229_.hist	465895440	101696383	19810372	7143388	4001358	2537599	1909043	1705324	671470	372649	434684	491192	682907	381645	197489	85282	135274	180587	347247	189055	122629	38320	24652	47934	102428	252074	56919	18328	6426	89971	127181	37788	15114	1742	553	33	8	258735	51746	2873	956	391	206	76	11	2	0	0	0	265502
unclassified-kra_SRR26417358_.hist	491782686	98333620	20524614	7328014	4040590	2568170	1778037	1588298	1130048	576323	279041	290498	403880	666871	441788	140568	81032	37659	79281	195152	368620	162318	70337	20580	10354	33133	78856	210284	105878	52938	15684	4659	1862	213	67	77237	169261	92323	18463	1024	340	138	72	26	3	0	0	0	0	288555
unclassified-kra_SRR26417319_.hist	486106731	98238117	21579560	7630205	4130409	2635125	1565726	1398643	1554360	792722	383817	192439	267548	441765	548115	300611	173292	72204	106507	262171	170055	53141	23026	40394	86315	276209	178483	57476	19157	9577	2836	841	335	37	11	297628	85567	46672	9333	517	171	69	35	12	1	0	0	0	0	343290
unclassified-kra_SRR26417256_.hist	476362864	81532818	16826031	6049822	3374106	2143251	1618574	1445851	1000189	510095	246975	206177	286649	473303	522342	166198	95807	39918	57538	141632	267526	197060	85391	24985	5617	17975	42780	114080	172304	86151	25525	7583	3032	348	109	5	57139	206132	41225	2289	762	311	164	60	9	2	0	0	0	242947
unclassified-kra_SRR26417287_.hist	482013772	88233574	18755697	6679680	3666944	2336635	1505373	1344730	1243693	634282	307104	225077	312925	516690	537760	171104	98635	41097	75142	184964	349376	141413	61278	17929	10642	34055	81050	216134	107985	53991	15996	4752	1899	218	68	3	142907	167982	33595	1865	620	253	133	49	7	1	0	0	0	274027
unclassified-kra_SRR26417460_.hist	460389258	117993457	21114887	7656974	4323248	2729700	2231435	1173969	482278	551725	643571	727234	383701	212109	154091	222978	353689	246580	39227	62436	117933	193074	240875	70482	4145	6098	14514	38703	254863	127430	37756	11217	4486	516	163	9	1	175449	138536	7695	2564	1049	556	207	33	10	3	0	0	250245
unclassified-kra_SRR26417143_.hist	467083956	87826615	19218088	6820021	3719172	2371883	1489026	1330128	1477660	753605	364877	179948	159275	262989	326300	472175	430234	179263	28518	15525	12246	20048	95227	185164	311775	173207	39110	12593	4196	2097	620	183	72	7	288544	126519	36373	19838	3966	219	72	28	14	4	0	0	0	0	0	333754
unclassified-kra_SRR26416994_.hist	470383019	111415019	21616660	7772791	4335569	2747522	2025068	1653497	651063	425453	496278	560793	640469	354051	183210	104870	166345	222065	316210	172158	111669	34895	52718	102508	218521	121399	27411	8826	2941	41175	236234	70191	28075	3237	1029	63	17	8	245748	41458	13818	5662	3004	1125	186	61	26	7	1	250340
unclassified-kra_SRR26416960_.hist	486329860	88546619	19566315	6944897	3788402	2421853	1436788	1283464	1835176	935939	453159	223486	119512	197332	244837	354293	561982	322246	51265	27910	18102	19280	91583	178077	315820	175454	39617	12757	4251	2124	628	185	73	7	445495	44816	12883	7026	1404	77	24	9	3	0	0	0	0	0	0	377608
unclassified-kra_SRR26417291_.hist	478260164	153490717	25658192	9453367	5276842	3300182	1541350	806428	1218122	1205415	583633	287833	400176	651081	336914	131006	207802	277410	265062	144310	93605	62906	298804	104046	11184	35790	85180	227146	87239	43618	12923	3838	32618	97853	187548	11720	3368	1836	366	19	139671	66842	35479	13303	2216	737	329	108	35	222365
unclassified-kra_SRR26417373_.hist	472725330	118152835	20275138	7520471	4238839	2665164	2044205	1004347	572310	654721	763713	836651	321213	177566	167016	241681	383356	429983	68405	37241	36631	59970	284858	308155	18125	10068	2272	730	27475	311456	92282	27418	10966	1264	401	24	5	107446	215340	11962	3986	1632	865	323	52	16	6	1	0	291878
unclassified-kra_SRR26417022_.hist	402876637	91781936	21409578	7807634	3632436	2329697	1331778	1189661	1797001	1333544	645670	318429	122253	169492	210295	304308	482695	644385	102514	55812	36201	20383	96821	188262	277360	154088	34793	11203	3733	1865	551	162	100082	300246	206086	12879	3701	2018	402	21	6	1	0	0	0	0	0	0	0	411248
unclassified-kra_SRR26417259_.hist	483109031	116175164	22169522	8047628	4550006	2873124	2484384	1220614	573072	655593	764730	848568	325788	180095	192245	278189	441265	349612	55619	30280	54966	89986	427436	125072	7638	24440	58168	99696	33231	16614	238456	70851	28339	3268	1038	63	17	8	253235	42463	14153	5799	3077	1153	191	62	27	8	1	258445
unclassified-kra_SRR26417662_.hist	467578249	97480861	22190676	7821736	4205919	2689411	1545427	1380510	1912407	975326	472229	232892	181652	299936	372142	538511	482932	201220	32011	17427	32917	53889	255975	416653	24508	13614	13372	35657	197145	98571	29205	8676	3469	399	126	179692	160088	87320	17463	969	322	130	68	24	3	0	0	0	0	365097
unclassified-kra_SRR26417353_.hist	482723759	100108084	19696375	7162433	4058575	2567527	2243532	1491956	587457	495201	577638	652730	631106	348874	180531	128664	204087	272451	289966	157869	102400	31999	133810	260185	27463	15256	7943	21182	266704	133351	39510	11738	4694	540	170	9	1	249747	91994	5109	1702	696	368	137	21	6	1	0	0	268742
unclassified-kra_SRR26416933_.hist	468218177	117315033	23829659	8556630	4762604	3012321	2371764	1482295	583653	598709	698376	789164	507035	280288	147921	214050	339527	453259	88620	48247	42859	70165	333286	220603	12975	18427	43857	33080	11025	154361	193308	57436	22973	2649	841	51	13	6	304020	18615	6204	2541	1348	504	83	26	10	2	0	273143
unclassified-kra_SRR26417449_.hist	472933382	91218335	19194593	6835561	3751841	2388751	1550548	1385085	1276634	651082	315238	155467	216146	356891	442809	448290	258425	107676	17129	25913	48945	80130	323418	94635	35179	112572	154464	49741	16579	8288	2454	728	290	32	181788	166294	47808	26076	5214	288	95	38	19	6	0	0	0	0	0	306591
unclassified-kra_SRR26417154_.hist	461678788	95490928	19017508	6852279	3834061	2432400	1843077	1646397	753660	384366	420348	474993	660384	365060	188907	116960	185522	247667	219890	119717	77653	28056	133266	259127	15241	8466	1910	614	226127	115707	34282	10185	4073	468	148	8	87011	186787	37356	2074	690	281	148	54	8	1	0	0	0	263663
unclassified-kra_SRR26417107_.hist	463634008	87470589	18017843	6481207	3617348	2295662	1769038	1580260	755116	385108	375838	424695	590456	427524	221230	70390	91246	121810	256442	292871	189969	59364	25723	8085	17277	55286	131582	252298	84098	42048	12457	3700	1479	169	52	2	137965	176617	35322	1961	652	266	140	51	7	1	0	0	0	269278
unclassified-kra_SRR26417082_.hist	484301152	86185769	18280722	6542467	3622099	2308916	1544777	1379930	1437909	733332	355062	175107	175867	290385	360291	521362	399715	166547	26495	14424	15163	24823	117911	229270	275903	153278	34610	11144	3713	1855	548	162	63	6	442783	34699	9975	5440	1087	59	18	6	2	0	0	0	0	0	0	346249
unclassified-kra_SRR26417192_.hist	483655079	93037066	19542130	6959761	3820470	2433189	1563135	1396328	1426488	727508	352241	173716	147975	244330	303149	438674	471665	196526	31264	17020	12177	19934	94690	184118	278940	154965	34991	11267	3754	1876	554	163	64	6	277796	116460	33481	18261	3651	201	66	26	12	3	0	0	0	0	0	316622
unclassified-kra_SRR26416972_.hist	447644002	93695123	20587178	7348276	4049806	2571788	1936503	1729854	967393	493369	329141	371929	517094	705719	365188	116195	66982	69048	145364	357820	335489	104839	45429	13292	9794	31340	74590	198905	180964	90481	26808	7964	3184	366	115	6	58113	259799	51958	2885	960	392	207	76	11	2	0	0	0	292830
unclassified-kra_SRR26417045_.hist	444535551	146598186	26569970	9634558	5417384	3401778	2124287	1043693	711579	814045	949560	731331	280778	219745	272645	394533	451591	188162	43382	106787	201708	233361	101122	37471	80071	256228	57857	18630	6209	3103	264000	91844	36736	4236	1347	83	22	11	241591	67015	22337	9153	4857	1820	302	99	43	13	3	270432
unclassified-kra_SRR26417100_.hist	460882944	86196994	19297171	6845523	3730184	2377192	1589151	1419568	1438563	733666	355223	175187	200964	331824	411706	534676	308224	128425	20430	12220	23082	37787	179490	349009	184164	102312	23101	7438	2478	1238	365	107	42	3	474398	29648	8523	4647	928	50	15	5	1	0	0	0	0	0	0	365093
unclassified-kra_SRR26417195_.hist	475065236	118371953	24473657	8711992	4778314	3031189	2062429	1842342	815521	415914	485152	548221	692382	382748	198060	121251	192329	256754	333597	181624	117809	36814	39045	75920	162230	232079	52403	16874	5623	2810	115747	150197	60077	6929	2203	136	38	19	259307	23978	7991	3274	1737	650	107	34	14	3	0	263416
unclassified-kra_SRR26416951_.hist	485753896	84548417	18252497	6542037	3630665	2312356	1651550	1475309	1391746	709789	343663	169485	232276	383525	475854	497622	286863	119525	19014	12861	24293	39770	188908	367320	187073	103928	23466	7556	2517	1257	371	109	42	3	460834	28801	8279	4515	902	49	15	5	1	0	0	0	0	0	0	358028
unclassified-kra_SRR26417296_.hist	477269582	105065109	21849606	7824161	4335625	2747557	2089928	1569382	617943	499779	582978	658764	565879	312817	161872	162119	257154	343293	241718	131601	85362	26674	93736	182265	203773	113206	25561	8230	2742	1370	228671	115285	46113	5318	1691	104	29	14	227525	46550	15515	6357	3373	1264	209	68	29	8	1	259010
unclassified-kra_SRR26417094_.hist	488709896	98829812	20077929	7176864	3965147	2522690	1669821	1491630	1251540	638284	309041	202424	281430	464687	576555	253379	146064	60859	37657	92695	175089	286646	139959	40953	8734	27948	66516	177376	96798	48398	14339	4259	1702	195	61	138480	145034	79108	15820	877	291	118	61	22	2	0	0	0	0	312562
unclassified-kra_SRR26417359_.hist	460863842	87884916	19361907	6878997	3759415	2392791	1633519	1459202	1277537	651543	315461	180554	251024	414481	514262	373949	215569	89819	17787	43782	82699	135390	325776	95325	35038	112120	131032	42195	14064	7031	2082	617	246	27	300948	109402	31452	17154	3429	189	62	24	11	3	0	0	0	0	0	331245
unclassified-kra_SRR26417382_.hist	473358062	112474897	21479989	7762653	4362151	2759635	2199106	1406443	553786	561218	654645	739748	446872	247030	132198	191298	303437	405081	130439	71015	46063	37742	179274	348587	38441	21355	4821	1551	14064	196896	163847	48683	19472	2245	713	43	11	5	287623	15978	5325	2181	1156	432	71	22	9	2	0	263043
unclassified-kra_SRR26416934_.hist	465628929	100449931	20843871	7484273	4165479	2635556	2145657	1402388	552189	530524	618840	699289	467925	258668	133852	176522	280000	373793	158976	86552	56141	31895	151501	294584	60601	33666	7601	2446	50137	254461	75394	22401	8959	1032	327	19	4	210796	117617	6533	2176	891	472	176	28	8	2	0	0	279802
unclassified-kra_SRR26417243_.hist	464898021	102674933	20871904	7484890	4157714	2638248	1919833	1714963	746214	395260	461060	520996	695063	384230	198827	84083	133372	178047	373676	203445	131963	41237	20620	40094	85675	274160	92111	29662	9886	4942	74756	149512	59804	6898	2193	136	38	19	254371	22173	7390	3027	1606	601	99	32	13	3	0	251079
unclassified-kra_SRR26417052_.hist	470708021	85990617	19151236	6803299	3717378	2371101	1552395	1386734	1503557	766813	371272	183102	196632	324671	402832	582921	336035	140013	22273	12125	19843	32485	154304	259613	258831	143794	32468	10455	3484	1741	514	151	861	2584	471971	29497	8479	4624	923	50	15	5	1	0	0	0	0	0	0	364826
unclassified-kra_SRR26417673_.hist	421532724	80492337	18636743	6609181	3284159	2104800	1134637	1013556	1530992	992876	480727	237082	142527	235335	291989	422525	243572	101487	32244	79370	149921	245442	279975	81923	4818	2675	603	193	63	30	39814	79627	414957	47868	15229	950	272	147	28	0	0	0	0	0	0	0	0	0	0	382109
unclassified-kra_SRR26417320_.hist	490363015	92513364	21314105	7453882	3933541	2520101	1294720	1156557	1746997	1139267	551606	272038	104442	172450	213965	309619	491119	425186	67642	36826	23886	29070	138084	268497	199363	110756	25008	8052	2683	1340	396	116	47455	142364	325488	20342	5847	3188	636	34	10	3	0	0	0	0	0	0	0	409484
unclassified-kra_SRR26417328_.hist	469238977	80421500	17985051	6395212	3500679	2229666	1562670	1395913	1257764	641458	310578	206864	287603	474879	589201	204089	117650	49020	57172	140731	265825	234143	101461	29687	6762	21638	51499	137331	181439	90718	26878	7985	3193	367	115	6	65288	231446	46288	2570	855	349	184	68	10	2	0	0	0	277556
unclassified-kra_SRR26417187_.hist	472729574	93459705	18865948	6805428	3814390	2420289	1876314	1676088	659958	413643	482502	545226	603501	333615	172635	127937	202934	270912	229130	124747	80916	47631	226250	140340	8254	14198	33791	90109	208184	104091	30840	9162	3664	421	133	7	65385	230212	46041	2556	851	347	183	67	10	2	0	0	0	278847
unclassified-kra_SRR26417119_.hist	486157340	97403026	20566056	7350191	4059681	2581091	1810949	1617698	1194817	609355	295035	230946	321084	530162	657792	215617	124295	51788	40381	99400	187754	307381	190742	55812	10685	34193	81378	217009	72335	36166	10715	3182	1272	145	45	247464	114221	62301	12459	691	229	93	48	17	1	0	0	0	0	322512
unclassified-kra_SRR26416978_.hist	468362804	94275628	21087833	7417842	3970502	2540937	1325376	1183942	1721394	877910	425063	209630	162745	268718	333408	482461	421732	175720	27954	44699	84431	138225	192885	56439	35311	112996	268930	86603	28866	14432	4275	1269	506	57	17	285180	104109	56785	11356	629	208	84	43	15	1	0	0	0	0	330203
unclassified-kra_SRR26417132_.hist	461764970	152767147	29683224	10662536	5938005	3745856	2785374	1368495	666420	762384	889299	949020	364355	201414	249902	361622	516911	215378	54390	133884	252891	215247	93272	44302	94667	302934	68403	22027	7341	3669	211816	158231	63291	7300	2321	144	40	21	252201	76827	25608	10494	5569	2087	346	114	50	15	4	301052
unclassified-kra_SRR26416979_.hist	459395824	93396404	20786307	7333997	3952261	2521415	1496817	1337088	1557344	794244	384554	189652	178949	295473	366605	530498	305815	127422	20270	24935	47099	77107	366261	226479	13321	7399	1669	536	16770	234785	69565	20668	8266	952	302	14938	180774	98603	19719	1094	363	148	77	28	3	0	0	0	0	304718
unclassified-kra_SRR26417284_.hist	479753860	127315564	24238940	8811767	4991618	3146877	2533679	1244833	626418	716621	835918	913726	350804	193924	221738	320867	508961	234792	37608	92574	174861	286272	124050	36297	63532	203301	130358	41978	13991	6994	103276	206552	82619	9530	3031	188	53	28	196599	92419	30805	12624	6700	2511	417	138	60	19	5	287655
unclassified-kra_SRR26417065_.hist	459711054	163068529	29704504	10737980	6036708	3793775	2377914	1168304	791406	905367	1056085	669173	256913	296348	367690	532068	313647	130685	75052	184742	348957	184675	80025	26249	56091	179491	237967	76632	25543	12770	12390	24780	295780	34120	10855	677	193	104	92830	148736	49577	20317	10783	4042	672	223	99	32	9	288592
unclassified-kra_SRR26417123_.hist	468864992	110844655	20270452	7374727	4181466	2641664	2241745	1249918	492154	563023	656750	742127	398783	220446	129622	187570	297524	397186	136214	74160	48102	36396	172880	303536	17854	9917	2238	719	230389	146122	43294	12863	5144	592	187	10	2	237042	93050	5168	1721	704	373	138	22	6	1	0	0	266126
unclassified-kra_SRR26417352_.hist	466491163	93587261	19387448	6954302	3864393	2453563	1816677	1622815	904019	461048	301145	340293	473110	649704	336202	106972	67220	89736	188918	327176	212221	66318	28736	28462	60820	194623	57264	18440	15174	212435	62942	18701	7479	861	273	16	3	266186	61821	3433	1143	467	247	91	14	3	0	0	0	264182
unclassified-kra_SRR26416970_.hist	469082215	96958076	20988809	7466570	4090318	2604596	1711070	1528478	1351095	689057	333625	232664	323474	534107	662687	210854	121550	50644	51324	126337	238636	319345	138382	40491	6026	19282	45891	122377	172446	86222	25546	7589	3034	349	110	72785	185575	101222	20243	1123	373	152	79	28	3	0	0	0	0	307837
unclassified-kra_SRR26416968_.hist	488783374	95034693	21927025	7698042	4079597	2610466	1473005	1315817	1987562	1020194	493953	243605	150423	248373	308166	445933	567061	236274	37588	20463	31081	50883	241697	469967	27644	15356	3466	1115	370	184	53	14	286496	264814	84258	5265	1512	824	163	8	1	0	0	0	0	0	0	0	0	441650
unclassified-kra_SRR26416983_.hist	465733830	91038270	20123665	7101299	3828216	2446930	1356055	1211346	1625868	829192	401474	197997	178310	294417	365295	528602	304723	126966	20198	27365	51689	84621	401952	117615	6917	11492	27350	72933	163091	81544	24160	7177	2870	330	104	78520	166515	90825	18164	1008	335	136	71	25	3	0	0	0	0	298737
unclassified-kra_SRR26417298_.hist	464015022	90581245	19756642	7010484	3822125	2430479	1648370	1472468	1153989	588533	284953	186245	258937	427546	530473	344424	198549	82727	13160	32393	61186	100170	381138	111525	41443	132618	74747	24070	8022	4010	1187	351	139	15	422350	26395	7587	4137	826	44	13	4	1	0	0	0	0	0	0	332025
unclassified-kra_SRR26416996_.hist	460252166	87709524	19488842	6936441	3803326	2421954	1686419	1506456	1434233	731458	354154	174659	227421	375508	465907	517268	298189	124244	19765	10760	19271	31549	149861	291395	266203	147889	33393	10752	3583	1790	529	156	61	6	256887	160229	46064	25125	5024	278	91	36	18	5	0	0	0	0	0	339932
unclassified-kra_SRR26417451_.hist	486713971	97384889	19931436	7128755	3942622	2508031	1690121	1509764	1200739	612376	296497	216067	300398	496006	615414	195812	112879	47032	65532	161308	304693	220683	95628	27981	6116	19573	46583	124220	187886	93942	27833	8269	3306	380	120	6	177007	133438	26686	1481	492	200	105	38	5	0	0	0	0	295907
unclassified-kra_SRR26417306_.hist	462908911	92498637	18259441	6580178	3682715	2334963	1797188	1605405	632127	325455	379634	428985	596420	463657	239928	76339	67190	89697	188834	333466	216301	67593	29289	8569	11775	37681	89681	239150	100734	50366	14922	4432	1772	203	63	2	103458	185500	37099	2060	685	280	147	54	8	1	0	0	0	254849
unclassified-kra_SRR26417058_.hist	494132591	93099658	19452942	6972519	3869806	2461872	1736812	1551472	1243311	634088	307009	234647	326230	538658	600253	190988	110098	45873	60731	149491	282372	238777	103469	30275	8300	26560	63213	168568	161705	80851	23955	7116	2845	327	103	5850	225208	122840	24567	1363	453	184	97	35	4	0	0	0	0	300687
unclassified-kra_SRR26417461_.hist	469462767	123181724	24375008	8779604	4909752	3102367	2504568	1230531	586296	670722	782378	884086	380399	210284	178730	258632	410243	465920	74122	40354	38138	62436	296574	336443	19789	10993	2481	798	147707	73852	218943	65053	26020	3000	953	58	15	7	289090	40814	13603	5574	2957	1108	183	60	26	7	1	269249
