sample	KARM	MORE	RISO	MÅSE	KALI	KALM	IDEI	BLEK	IDEO
KARM	0	0.01654	0.01394	0.048	0.05512	0.05285	0.04847	0.045	0.02779
MORE	0.01654	0	0.01054	0.02861	0.04141	0.05557	0.04008	0.03376	0.02131
RISO	0.01394	0.01054	0	0.01226	0.04574	0.03622	0.01082	0.02542	-0.00337
MÅSE	0.048	0.02861	0.01226	0	0.05619	0.05747	0.00988	0.03556	0.00826
KALI	0.05512	0.04141	0.04574	0.05619	0	0.01079	0.03579	0.00824	0.03318
KALM	0.05285	0.05557	0.03622	0.05747	0.01079	0	0.02736	0.01086	0.02384
IDEI	0.04847	0.04008	0.01082	0.00988	0.03579	0.02736	0	0.01963	-0.00146
BLEK	0.045	0.03376	0.02542	0.03556	0.00824	0.01086	0.01963	0	0.01685
IDEO	0.02779	0.02131	-0.00337	0.00826	0.03318	0.02384	-0.00146	0.01685	0
