sample	KARM	MORE	RISO	MÅSE	KALI	KALM	IDEI	BLEK	IDEO
KARM	0	-0.01752	0.00812	0.02615	0.04236	0.04534	0.01256	0.03206	0.03217
MORE	-0.01752	0	0.01746	0.03544	0.04614	0.05097	0.01958	0.04439	0.03529
RISO	0.00812	0.01746	0	0.00992	0.03723	0.03051	0.00626	0.02148	0.0167
MÅSE	0.02615	0.03544	0.00992	0	0.03303	0.03202	-0.01258	0.0208	0.01176
KALI	0.04236	0.04614	0.03723	0.03303	0	0.00055	-0.00157	-0.00554	0.017
KALM	0.04534	0.05097	0.03051	0.03202	0.00055	0	-0.00348	-0.00636	0.01492
IDEI	0.01256	0.01958	0.00626	-0.01258	-0.00157	-0.00348	0	0.01841	0.02212
BLEK	0.03206	0.04439	0.02148	0.0208	-0.00554	-0.00636	0.01841	0	0.01913
IDEO	0.03217	0.03529	0.0167	0.01176	0.017	0.01492	0.02212	0.01913	0
