sample_name	species	population	bam
AR-2019-2	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/AR-2019-2.ragweed2021.realigned.bam
AR-6	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/AR-6.ragweed2021.realigned.bam
AR-7	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/AR-7.ragweed2021.realigned.bam
B1-1	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/B1-1.ragweed2021.realigned.bam
B-1	Ambrosia_artemisiifolia	FRBordaux	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/B-1.ragweed2021.realigned.bam
B2-1	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/B2-1.ragweed2021.realigned.bam
B-2	Ambrosia_artemisiifolia	FRBordaux	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/B-2.ragweed2021.realigned.bam
B3-1	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/B3-1.ragweed2021.realigned.bam
B-3	Ambrosia_artemisiifolia	FRBordaux	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/B-3.ragweed2021.realigned.bam
B-4	Ambrosia_artemisiifolia	FRBordaux	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/B-4.ragweed2021.realigned.bam
BN-ON-6	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/BN-ON-6.ragweed2021.realigned.bam
Caluire-26	Ambrosia_artemisiifolia	FRLyon2:Caluire	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/Caluire-26.ragweed2021.realigned.bam
Caluire-27	Ambrosia_artemisiifolia	FRLyon2:Caluire	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/Caluire-27.ragweed2021.realigned.bam
Caluire-31	Ambrosia_artemisiifolia	FRLyon2:Caluire	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/Caluire-31.ragweed2021.realigned.bam
Caluire-32	Ambrosia_artemisiifolia	FRLyon2:Caluire	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/Caluire-32.ragweed2021.realigned.bam
Caluire-36	Ambrosia_artemisiifolia	FRLyon2:Caluire	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/Caluire-36.ragweed2021.realigned.bam
Caluire-37	Ambrosia_artemisiifolia	FRLyon2:Caluire	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/Caluire-37.ragweed2021.realigned.bam
Caluire-41	Ambrosia_artemisiifolia	FRLyon2:Caluire	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/Caluire-41.ragweed2021.realigned.bam
Caluire-42	Ambrosia_artemisiifolia	FRLyon2:Caluire	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/Caluire-42.ragweed2021.realigned.bam
Caluire-46	Ambrosia_artemisiifolia	FRLyon2:Caluire	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/Caluire-46.ragweed2021.realigned.bam
Caluire-47	Ambrosia_artemisiifolia	FRLyon2:Caluire	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/Caluire-47.ragweed2021.realigned.bam
CT-H-10	Ambrosia_artemisiifolia	NY/NJ	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/CT-H-10.ragweed2021.realigned.bam
CT-H-1	Ambrosia_artemisiifolia	NY/NJ	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/CT-H-1.ragweed2021.realigned.bam
CT-H-2	Ambrosia_artemisiifolia	NY/NJ	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/CT-H-2.ragweed2021.realigned.bam
CT-H-3	Ambrosia_artemisiifolia	NY/NJ	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/CT-H-3.ragweed2021.realigned.bam
CT-H-4	Ambrosia_artemisiifolia	NY/NJ	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/CT-H-4.ragweed2021.realigned.bam
CT-H-6	Ambrosia_artemisiifolia	NY/NJ	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/CT-H-6.ragweed2021.realigned.bam
CT-H-7	Ambrosia_artemisiifolia	NY/NJ	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/CT-H-7.ragweed2021.realigned.bam
CT-H-8	Ambrosia_artemisiifolia	NY/NJ	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/CT-H-8.ragweed2021.realigned.bam
CT-H-9	Ambrosia_artemisiifolia	NY/NJ	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/CT-H-9.ragweed2021.realigned.bam
D-2017-4-10	Ambrosia_artemisiifolia	DEBerlin	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/D-2017-4-10.ragweed2021.realigned.bam
D-2017-4-2	Ambrosia_artemisiifolia	DEBerlin	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/D-2017-4-2.ragweed2021.realigned.bam
D-2017-4-3	Ambrosia_artemisiifolia	DEBerlin	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/D-2017-4-3.ragweed2021.realigned.bam
D-2017-4-4	Ambrosia_artemisiifolia	DEBerlin	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/D-2017-4-4.ragweed2021.realigned.bam
D-2017-4-5	Ambrosia_artemisiifolia	DEBerlin	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/D-2017-4-5.ragweed2021.realigned.bam
D-2017-4-6	Ambrosia_artemisiifolia	DEBerlin	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/D-2017-4-6.ragweed2021.realigned.bam
D-2017-4-7	Ambrosia_artemisiifolia	DEBerlin	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/D-2017-4-7.ragweed2021.realigned.bam
D-2017-4-9	Ambrosia_artemisiifolia	DEBerlin	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/D-2017-4-9.ragweed2021.realigned.bam
EU2-01-12	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-01-12.ragweed2021.realigned.bam
EU2-02-10	Ambrosia_artemisiifolia	Unknown	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-02-10.ragweed2021.realigned.bam
EU2-02-1	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-02-1.ragweed2021.realigned.bam
EU2-03-9C	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-03-9C.ragweed2021.realigned.bam
EU2-04-11	Ambrosia_artemisiifolia	diffuse	/projects/mjolnir1/people/sjr729/Skmer_ms/Ragweed/bam/EU2-04-11.ragweed2021.realigned.bam
