sample_title;Accession;sample_description;tissue_type;geographic location (region and locality)
BAL_22_HER041a;ERS11963841;Western Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER041b;ERS11963842;Western Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER042a;ERS11963843;Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER042b;ERS11963844;Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER042c;ERS11963845;Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER043a;ERS11963846;Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER043b;ERS11963847;Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER044;ERS11963848;Western Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER045a;ERS11963849;Western Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER045b;ERS11963850;Western Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER045c;ERS11963851;Western Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER045d;ERS11963852;Western Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER046a;ERS11963853;Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER046b;ERS11963854;Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER046c;ERS11963855;Baltic Autumn Spawning herring;bone;Truso (Janów Pomorski), Poland, 800-850 CE
BAL_22_HER047a;ERS11963856;Baltic Autumn Spawning herring;bone;Kolowbrzweg Budzistowo, Poland, 750-850 CE
BAL_22_HER047b;ERS11963857;Baltic Autumn Spawning herring;bone;Kolowbrzweg Budzistowo, Poland, 750-850 CE
BAL_22_HER047c;ERS11963858;Baltic Autumn Spawning herring;bone;Kolowbrzweg Budzistowo, Poland, 750-850 CE
BAL_22_HER047d;ERS11963859;Baltic Autumn Spawning herring;bone;Kolowbrzweg Budzistowo, Poland, 750-850 CE
BAL_22_HER047e;ERS11963860;Baltic Autumn Spawning herring;bone;Kolowbrzweg Budzistowo, Poland, 750-850 CE
BAL_22_HER048;ERS11963861;Baltic Autumn Spawning herring;bone;Kolowbrzweg Budzistowo, Poland, 750-850 CE
BAL_22_HER050;ERS11963862;Western Baltic Autumn Spawning herring;bone;Kolowbrzweg Budzistowo, Poland, 750-850 CE
BAL_22_HER051a;ERS11963863;Baltic Autumn Spawning herring;bone;Kolowbrzweg Budzistowo, Poland, 750-850 CE
