unclassified-kra_SRR26416940_	unclassified-kra_SRR26417119_	unclassified-kra_SRR26417123_	unclassified-kra_SRR26417124_	unclassified-kra_SRR26417125_	unclassified-kra_SRR26417126_	unclassified-kra_SRR26417128_	unclassified-kra_SRR26417132_	unclassified-kra_SRR26417133_	unclassified-kra_SRR26417134_
unclassified-kra_SRR26416940_	0	0.00773637986054495	0.00781335686084463	0.00825016250836692	0.00764978165159075	0.00792803752134226	0.00765097765288616	0.00743726218791543	0.00865780673443236	NA
unclassified-kra_SRR26417119_	0.00756799302828145	0	0.00540078522257429	0.00581218829322048	0.00530353510510443	0.00570725995559552	0.00562600801636145	0.00536012102670889	0.0060650788071325	NA
unclassified-kra_SRR26417123_	0.00759280765390224	0.00536418998564003	0	0.00585310153177142	0.00509520535071499	0.00574759707329114	0.00531982016747872	0.00513067125163464	0.00583708693743712	NA
unclassified-kra_SRR26417124_	0.00808535474135015	0.00582281254985507	0.00590378475485492	0	0.00577653841124045	0.00626809329924429	0.00594816471024567	0.00563514909037734	0.00644417483712085	NA
unclassified-kra_SRR26417125_	0.00743481889326889	0.0052642090334982	0.00508991661704671	0.00572319445107275	0	0.00569914430990713	0.00535421730965707	0.00505283830867364	0.00573110533819491	NA
unclassified-kra_SRR26417126_	0.0076796098185515	0.00565288704696927	0.00573406486283099	0.00619740533535796	0.00569347145136099	0	0.0056494241821563	0.00546678670010572	0.00611783234525527	NA
unclassified-kra_SRR26417128_	0.0074578714049987	0.00560306150833327	0.00533345950107722	0.00591326030484491	0.00537293091793245	0.00567750094122173	0	0.00520841464862145	0.00580097907907246	NA
unclassified-kra_SRR26417132_	0.00758009623840998	0.00555370274721115	0.00533279389143299	0.00582818132650669	0.00524182763070043	0.00569832677313896	0.00539953971840465	0	0.00577429769274625	NA
unclassified-kra_SRR26417133_	0.00848469227621242	0.00607835494662153	0.00589122342115784	0.00644667320073203	0.00578760899986958	0.00619301142810352	0.00583763268847644	0.0055702797348029	0	NA
unclassified-kra_SRR26417134_	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
