unclassified-kra_SRR26416940_	unclassified-kra_SRR26417119_	unclassified-kra_SRR26417123_	unclassified-kra_SRR26417124_	unclassified-kra_SRR26417125_	unclassified-kra_SRR26417126_	unclassified-kra_SRR26417128_	unclassified-kra_SRR26417132_	unclassified-kra_SRR26417133_	unclassified-kra_SRR26417134_
unclassified-kra_SRR26416940_	0	0.00688200935197738	0.00672157300763532	0.00745450056826111	0.00644831461806992	0.00691753837850091	0.006480425901985	0.00623000359926284	0.00782999326216921	NA
unclassified-kra_SRR26417119_	0.00693735663893713	0	0.00502211128794188	0.00542468173211335	0.00512507064528641	0.00534866969292227	0.00522273817999819	0.00529650401709188	0.00545352431835123	NA
unclassified-kra_SRR26417123_	0.00702844421708092	0.00500841276799996	0	0.00551063940500731	0.00490214650956764	0.00542565023491576	0.00490723931169932	0.00505242309267318	0.00525489046454698	NA
unclassified-kra_SRR26417124_	0.00729402117602009	0.00515674352545257	0.00521025867244404	0	0.00522862268188656	0.00561946460211429	0.00521023341217537	0.00516390241245145	0.00559679119341546	NA
unclassified-kra_SRR26417125_	0.00705436456757662	0.00528490762609532	0.0052094665391932	0.00574670978048108	0	0.00584998050075756	0.00545879560638423	0.00568139043899015	0.00543735760405997	NA
unclassified-kra_SRR26417126_	0.00703228300674112	0.00516386511478499	0.00522278225392887	0.00573165028284399	0.00534406597240495	0	0.00507755747429867	0.00519067994464672	0.00542600730676226	NA
unclassified-kra_SRR26417128_	0.00683410309172717	0.00522519309487038	0.00492697524582883	0.00552806836446857	0.0051675773517583	0.00529909915296524	0	0.00508577665001988	0.00517080619850964	NA
unclassified-kra_SRR26417132_	0.00695518321512778	0.00547067521695306	0.00541023537767123	0.00571915709138634	0.00573651024591086	0.00576041716648143	0.00543192377157497	0	0.00531362304567912	NA
unclassified-kra_SRR26417133_	0.00788597098236849	0.00556534390364501	0.00527755059797223	0.00593879516835407	0.00525813606214057	0.005626140159105	0.00516850416135801	0.00509192995602893	0	NA
unclassified-kra_SRR26417134_	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
