sample	KARM	MORE	RISO	MÅSE	KALI	KALM	IDEI	BLEK	IDEO
KARM	0	0.47041	-0.3658	-0.40539	0.24048	0.27589	-0.00594	-0.1968	-0.02857
MORE	0.47041	0	-0.64706	0.10438	0.3677	0.9226	-0.13814	-0.35574	-0.31753
RISO	-0.3658	-0.64706	0	0.05562	0.47942	0.56707	0.18448	0.29075	-0.01013
MÅSE	-0.40539	0.10438	0.05562	0	0.36223	0.49422	0.01783	0.25565	-0.09967
KALI	0.24048	0.3677	0.47942	0.36223	0	0.2136	0.11086	-0.217	0.03583
KALM	0.27589	0.9226	0.56707	0.49422	0.2136	0	-0.32399	-0.42218	-0.09636
IDEI	-0.00594	-0.13814	0.18448	0.01783	0.11086	-0.32399	0	-0.98033	-0.25211
BLEK	-0.1968	-0.35574	0.29075	0.25565	-0.217	-0.42218	-0.98033	0	0.22219
IDEO	-0.02857	-0.31753	-0.01013	-0.09967	0.03583	-0.09636	-0.25211	0.22219	0
