sample	KARM	MORE	RISO	MÅSE	KALI	KALM	IDEI	BLEK	IDEO
KARM	0	0.38084	-0.44768	-0.50846	0.21467	0.24245	-0.00596	-0.21828	-0.02899
MORE	0.38084	0	-0.95653	0.0992	0.31059	0.63136	-0.14839	-0.4327	-0.37746
RISO	-0.44768	-0.95653	0	0.05411	0.38672	0.44181	0.1689	0.25385	-0.01019
MÅSE	-0.50846	0.0992	0.05411	0	0.30669	0.39629	0.01767	0.22668	-0.1049
KALI	0.21467	0.31059	0.38672	0.30669	0	0.19299	0.10504	-0.24341	0.0352
KALM	0.24245	0.63136	0.44181	0.39629	0.19299	0	-0.38662	-0.53514	-0.10124
IDEI	-0.00596	-0.14839	0.1689	0.01767	0.10504	-0.38662	0	-1.92284	-0.28847
BLEK	-0.21828	-0.4327	0.25385	0.22668	-0.24341	-0.53514	-1.92284	0	0.19997
IDEO	-0.02899	-0.37746	-0.01019	-0.1049	0.0352	-0.10124	-0.28847	0.19997	0
