sample	KARM	MORE	RISO	MÅSE	KALI	KALM	IDEI	BLEK	IDEO
KARM	0	0.26406	-0.40345	-0.45938	0.19351	0.24245	-0.00652	-0.20023	-0.02899
MORE	0.26406	0	1.16423	0.37722	0.78281	0.85703	-0.3485	1.70614	-23.43954
RISO	-0.40345	1.16423	0	0.05024	0.37183	0.42964	0.22309	0.25064	-0.01187
MÅSE	-0.45938	0.37722	0.05024	0	0.30476	0.40205	0.02407	0.23083	-0.11701
KALI	0.19351	0.78281	0.37183	0.30476	0	0.20281	0.15447	-0.24341	0.04245
KALM	0.24245	0.85703	0.42964	0.40205	0.20281	0	-0.48212	-0.54289	-0.10124
IDEI	-0.00652	-0.3485	0.22309	0.02407	0.15447	-0.48212	0	-1.06809	-0.27012
BLEK	-0.20023	1.70614	0.25064	0.23083	-0.24341	-0.54289	-1.06809	0	0.22038
IDEO	-0.02899	-23.43954	-0.01187	-0.11701	0.04245	-0.10124	-0.27012	0.22038	0
