sample	KARM	MORE	RISO	MÅSE	KALI	KALM	IDEI	BLEK	IDEO
KARM	0	0.07581	0.00324	0.02229	0.07678	0.07132	0.09787	0.01541	0.00862
MORE	0.07581	0	-0.02952	-0.02366	0.0308	0.12749	0.04272	-0.04183	-0.02878
RISO	0.00324	-0.02952	0	0.00599	0.0974	0.10784	0.09815	0.0385	0.01664
MÅSE	0.02229	-0.02366	0.00599	0	0.10565	0.09288	0.06538	0.04766	0.00328
KALI	0.07678	0.0308	0.0974	0.10565	0	0.03926	0.05806	-0.01768	-0.00511
KALM	0.07132	0.12749	0.10784	0.09288	0.03926	0	0.0256	-0.10123	-0.05651
IDEI	0.09787	0.04272	0.09815	0.06538	0.05806	0.0256	0	-0.10372	-0.04221
BLEK	0.01541	-0.04183	0.0385	0.04766	-0.01768	-0.10123	-0.10372	0	0.0081
IDEO	0.00862	-0.02878	0.01664	0.00328	-0.00511	-0.05651	-0.04221	0.0081	0
