"","cleaned_id","rawreads","rawbases","adapterclipbases","mappedbases","dedupmappedbases","realignedmappedbases","sample_id","species","sample_title","sample_accession","scientific_name","library_name","base_count","Accession","sample_description","tissue_type","geographic location (region and locality)","population","coverage","error_rate","genome_length","read_length"
"16","ERR9709220",76227534,11510357634,7116259553,5662896333,5261896814,5261896814,"unclassified-kra_ERR9709220_","Clupea","BAL_22_M-HER020","SAMEA14369686","Clupea harengus","M-HER020",11510357634,"ERS11963914","Baltic Spring Spawning herring","tissue","Kalmarsund, Sweden, 2010","KALM",9.80183910410735,0.00463074155587683,728885203,161
"17","ERR9709221",141145240,21312931240,13513013752,10771269736,9604491439,9604491439,"unclassified-kra_ERR9709221_","Clupea","BAL_22_M-HER021","SAMEA14369687","Clupea harengus","M-HER021",21312931240,"ERS11963915","Baltic Spring Spawning herring","tissue","Kalmarsund, Sweden, 2010","KALM",22.4244498846687,0.00467160981499936,605388753,158
"18","ERR9709222",117384448,17725051648,8111434634,6160126961,5737466313,5737466313,"unclassified-kra_ERR9709222_","Clupea","BAL_22_M-HER022","SAMEA14369688","Clupea harengus","M-HER022",17725051648,"ERS11963916","Atlantic Spring Spawning herring","fin tip","Idefjord - Inner, Norway, 2010","IDEI",5.89942130547773,0.0198278659260485,1381369898,149
"19","ERR9709223",121201312,18301398112,6505236185,4835961665,4505649844,4505649844,"unclassified-kra_ERR9709223_","Clupea","BAL_22_M-HER023","SAMEA14369689","Clupea harengus","M-HER023",18301398112,"ERS11963917","Atlantic Spring Spawning herring","fin tip","Idefjord - Inner, Norway, 2010","IDEI",5.35335344593233,0.0124921619246606,1220095699,145
"20","ERR9709224",100370374,15155926474,7897747722,6140053097,5728370500,5728370500,"unclassified-kra_ERR9709224_","Clupea","BAL_22_M-HER024","SAMEA14369690","Clupea harengus","M-HER024",15155926474,"ERS11963918","Atlantic Spring Spawning herring","fin tip","Idefjord - Inner, Norway, 2010","IDEI",10.2638257126859,0.00553798408557371,771931243,163
"21","ERR9709225",140166492,21165140292,12160139372,9619408112,8682136917,8682136917,"unclassified-kra_ERR9709225_","Clupea","BAL_22_M-HER025","SAMEA14369691","Clupea harengus","M-HER025",21165140292,"ERS11963919","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010","BLEK",19.2422130769976,0.00417080977659478,635055851,158
"22","ERR9709226",102314914,15449552014,9310796841,7417518772,6869596117,6869596117,"unclassified-kra_ERR9709226_","Clupea","BAL_22_M-HER026","SAMEA14369692","Clupea harengus","M-HER026",15449552014,"ERS11963920","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010","BLEK",3.89209517358601,0.00391003950272939,836285709,161
"23","ERR9709227",106375466,16062695366,9180326381,7299141144,6676802870,6676802870,"unclassified-kra_ERR9709227_","Clupea","BAL_22_M-HER027","SAMEA14369693","Clupea harengus","M-HER027",16062695366,"ERS11963921","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010","BLEK",12.9388178518689,0.00470694193649079,712918776,158
"24","ERR9709228",95388348,14403640548,9104365682,7225056190,6615454979,6615454979,"unclassified-kra_ERR9709228_","Clupea","BAL_22_M-HER028","SAMEA14369694","Clupea harengus","M-HER028",14403640548,"ERS11963922","Atlantic Spring Spawning herring","tissue","Idefjord - Outer, Norway, 2010","IDEO",12.959904185411,0.00487606378707761,705858782,159
"25","ERR9709229",91631702,13836387002,7858966402,6216891960,5768783301,5768783301,"unclassified-kra_ERR9709229_","Clupea","BAL_22_M-HER029","SAMEA14369695","Clupea harengus","M-HER029",13836387002,"ERS11963923","Atlantic Spring Spawning herring","tissue","Idefjord - Outer, Norway, 2010","IDEO",5.81105138261218,0.0188311529142888,1357767536,158
"26","ERR9709230",147184690,22224888190,12898630161,10207177620,9313812808,9313812808,"unclassified-kra_ERR9709230_","Clupea","BAL_22_M-HER030","SAMEA14369696","Clupea harengus","M-HER030",22224888190,"ERS11963924","Atlantic Spring Spawning herring","tissue","Idefjord - Outer, Norway, 2010","IDEO",20.7067756202561,0.00422662441346477,624709331,162
"27","ERR9709231",120276270,18161716770,10923516585,8662168182,7940925410,7940925410,"unclassified-kra_ERR9709231_","Clupea","BAL_22_M-HER034","SAMEA14369697","Clupea harengus","M-HER034",18161716770,"ERS11963925","Atlantic Spring Spawning herring","tissue","Måseskär, Sweden, 2003","MÅSE",15.7793506770013,0.00532591847763597,694104338,167
"28","ERR9709234",105877704,15987533304,9739095139,7741568954,7131421800,7131421800,"unclassified-kra_ERR9709234_","Clupea","BAL_22_M-HER037","SAMEA14369700","Clupea harengus","M-HER037",15987533304,"ERS11963928","Atlantic Spring Spawning herring","tissue","Måseskär, Sweden, 2003","MÅSE",14.3905249579496,0.00498473656988196,679862850,159
