ERR9709202	101897052	15386454852	7975828661	6300814064	5818881223	5818881223	
ERR9709203	58650626	8856244526	5996271458	4554152072	4197382390	4197382390	
ERR9709204	94389980	14252886980	5717061099	4473262455	4233052586	4233052586	
ERR9709206	78238606	11814029506	6182914187	4911477586	4599202266	4599202266	
ERR9709208	87193682	13166245982	6015165708	4733546544	4444108308	4444108308	
ERR9709209	142926556	21581909956	11411600821	9007075134	8232273786	8232273786	
ERR9709210	118524176	17897150576	8257752751	6473671264	6026831340	6026831340	
ERR9709211	108455454	16376773554	6932343035	5431459512	5048329538	5048329538	
ERR9709212	103852494	15681726594	8152570612	6452274164	5991116531	5991116531	
ERR9709213	135700208	20490731408	8801752585	6915112470	6409288350	6409288350	
ERR9709214	104645388	15801453588	7465073665	5900723550	5512961318	5512961318	
ERR9709215	98965386	14943773286	6559227584	5155218775	4830899414	4830899414	
ERR9709216	112944988	17054693188	10725403544	8473101783	7708242387	7708242387	
ERR9709217	114902506	17350278406	10170660210	8038857946	7356786774	7356786774	
ERR9709218	100003852	15100581652	8948589291	7111518505	6570960769	6570960769	
ERR9709220	76227534	11510357634	7116259553	5662896333	5261896814	5261896814	
ERR9709221	141145240	21312931240	13513013752	10771269736	9604491439	9604491439	
ERR9709222	117384448	17725051648	8111434634	6160126961	5737466313	5737466313	
ERR9709223	121201312	18301398112	6505236185	4835961665	4505649844	4505649844	
ERR9709224	100370374	15155926474	7897747722	6140053097	5728370500	5728370500	
ERR9709225	140166492	21165140292	12160139372	9619408112	8682136917	8682136917	
ERR9709226	102314914	15449552014	9310796841	7417518772	6869596117	6869596117	
ERR9709227	106375466	16062695366	9180326381	7299141144	6676802870	6676802870	
ERR9709228	95388348	14403640548	9104365682	7225056190	6615454979	6615454979	
ERR9709229	91631702	13836387002	7858966402	6216891960	5768783301	5768783301	
ERR9709230	147184690	22224888190	12898630161	10207177620	9313812808	9313812808	
ERR9709231	120276270	18161716770	10923516585	8662168182	7940925410	7940925410	
ERR9709234	105877704	15987533304	9739095139	7741568954	7131421800	7131421800	
ERR9709235	106429122	16070797422	9892548007	7853638404	7121125161	7121125161	
ERR9709236	86071244	12996757844	7320910381	5841292920	5464556938	5464556938	
ERR9709238	107269280	16197661280	10001850610	7919433955	7251832374	7251832374	
ERR9709240	115068048	17375275248	9388079010	7545685989	6970101940	6970101940	
ERR9709241	97602792	14738021592	9173147201	7270453142	6718672495	6718672495	
ERR9709242	119951934	18112742034	11512365427	9162123059	8303649377	8303649377	
ERR9709243	117260454	17706328554	11082325190	8802146456	8043891590	8043891590	
ERR9709244	122581166	18509756066	9603465115	7597272111	6983124229	6983124229	
ERR9709245	101390366	15309945266	7800681415	6158886803	5735786969	5735786969	
ERR9709246	163349488	24665772688	12163862099	9644602866	8839587979	8839587979	
ERR9709247	104300662	15749399962	6176426549	4790103451	4530372211	4530372211	
ERR9709248	125165810	18900037310	11476139140	9198775689	8379106750	8379106750	
ERR9709249	102840440	15528906440	7192641486	5647074700	5302165856	5302165856	
ERR9709251	79504388	12005162588	4382263618	3356269289	3179182190	3179182190	
ERR9709252	121344850	18323072350	8330637582	6531569653	6055327874	6055327874	
ERR9709253	86974942	13133216242	6882197163	5425757515	5070005609	5070005609	
