sample_name	species	population	bam
ERR9709230	Atlantic Spring Spawning herring	IDEO	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709230.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709231	Atlantic Spring Spawning herring	MÅSE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709231.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709234	Atlantic Spring Spawning herring	MÅSE	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709234.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709235	Atlantic Spring Spawning herring	RISO	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709235.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709236	Atlantic Spring Spawning herring	RISO	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709236.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709238	Atlantic Spring Spawning herring	IDEO	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709238.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709240	Baltic Spring Spawning herring	KALM	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709240.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709241	Atlantic Spring Spawning herring	KARM	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709241.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709242	Baltic Spring Spawning herring	KALI	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709242.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709243	Baltic Spring Spawning herring	KALI	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709243.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709244	Baltic Spring Spawning herring	KALI	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709244.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709245	Baltic Spring Spawning herring	BLEK	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709245.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709246	Baltic Spring Spawning herring	BLEK	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709246.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709247	Baltic Spring Spawning herring	BLEK	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709247.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709248	Atlantic Spring Spawning herring	IDEI	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709248.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709249	Atlantic Spring Spawning herring	IDEI	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709249.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709251	Atlantic Spring Spawning herring	IDEO	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709251.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709252	Atlantic Spring Spawning herring	RISO	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709252.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
ERR9709253	Atlantic Spring Spawning herring	RISO	/projects/mjolnir1/people/sjr729/tutorial/skimming_scripts/testClupea/angsd/realigned/unclassified-seq_ERR9709253.nocig.dedup_clipoverlap.minq20_minq20.nocig.realigned.bam
