sample	KARM	MORE	RISO	MÅSE	KALI	KALM	IDEI	BLEK	IDEO
KARM	0	-0.00136	0.0074	0.01861	0.03748	0.02601	0.01648	0.02506	0.03676
MORE	-0.00136	0	0.00211	0.00559	0.02045	0.01305	0.00808	0.00993	0.01265
RISO	0.0074	0.00211	0	-0.00047	0.02163	0.01077	0.002	0.01089	0.00421
MÅSE	0.01861	0.00559	-0.00047	0	0.02396	0.01597	0.00035	0.01151	0.00204
KALI	0.03748	0.02045	0.02163	0.02396	0	-0.00049	0.01292	0.00557	0.01741
KALM	0.02601	0.01305	0.01077	0.01597	-0.00049	0	0.00505	-0.00183	0.0061
IDEI	0.01648	0.00808	0.002	0.00035	0.01292	0.00505	0	0.00602	0.00049
BLEK	0.02506	0.00993	0.01089	0.01151	0.00557	-0.00183	0.00602	0	0.00843
IDEO	0.03676	0.01265	0.00421	0.00204	0.01741	0.0061	0.00049	0.00843	0
