sample	KARM	MORE	RISO	MÅSE	KALI	KALM	IDEI	BLEK	IDEO
KARM	0	-0.00136	0.0074	0.01861	0.03748	0.01955	0.01799	0.0232	0.02074
MORE	-0.00136	0	0.00211	0.00559	0.02045	0.01223	0.00488	0.00764	-0.01093
RISO	0.0074	0.00211	0	-0.00047	0.02163	0.01135	0.00029	0.01049	-0.0174
MÅSE	0.01861	0.00559	-0.00047	0	0.02396	0.01743	0.00196	0.01271	-0.01738
KALI	0.03748	0.02045	0.02163	0.02396	0	0.00411	0.04424	0.00484	0.0133
KALM	0.01955	0.01223	0.01135	0.01743	0.00411	0	0.00916	-0.00233	-0.00471
IDEI	0.01799	0.00488	0.00029	0.00196	0.04424	0.00916	0	0.01891	0.02171
BLEK	0.0232	0.00764	0.01049	0.01271	0.00484	-0.00233	0.01891	0	-0.00525
IDEO	0.02074	-0.01093	-0.0174	-0.01738	0.0133	-0.00471	0.02171	-0.00525	0
