"individual","population","dist_1","dist_2","dist_3","dist_4","dist_5","dist_6","dist_7","dist_8","dist_9","dist_10","dist_11","dist_12","dist_13","dist_14","dist_15","dist_16","dist_17","dist_18","dist_19","dist_20","dist_21","dist_22","dist_23","dist_24","dist_25","dist_26","dist_27","dist_28","dist_29","dist_30","dist_31","dist_32","dist_33","dist_34","dist_35","dist_36","dist_37","dist_38","dist_39","dist_40"
"ERR9709203","KARM",-0.0418913680094552,-0.0560386932556137,-0.00916896723232716,0.000781639000685634,-0.0145155174894426,0.000611958729744551,0.00557513952198993,-0.0135314236363294,-0.00205025729135508,-0.0174494703898216,-0.00177581915705835,-0.00435663361831516,0.0174974219833671,-0.0089291798566633,0.0111933093428306,-0.00743319471472868,0.00262910895608845,0.0176720857075801,-0.00176596118185627,-0.0134773402357207,-0.00538277625269245,-0.0149575662455941,0.0170478131284237,0.000502595058982205,0.00149760698492486,-0.00132008835607756,0.0353593464856698,0.0224254146866199,-0.0241963517917519,0.0260750157967954,0.0655447757679705,-0.0301442327095541,0.0211795928942244,0.0091528359222741,-0.00768212781615356,-0.0597642792968815,0.0606022285260904,-0.0150370915560401,-0.0501932709032784,-0.0156015885026527
"ERR9709204","KARM",-0.0332029005411001,-0.0338704227849742,-0.00114770096117243,0.00233422529192033,-0.00307868670797485,0.0149944099327133,0.00143827332995121,0.0012361785276265,0.00147953897535696,-0.00287487133305548,-0.0109865323335299,-0.00542328502524284,-0.00500883377459555,-0.00943515527460887,0.0109190423812985,-0.000973496817937804,0.00188720756594558,0.00409449288842272,-0.00640649211929133,-0.00444847637696032,0.00190306311473105,0.000671465917199244,0.00332070901478172,-0.000630805394421674,0.0119787577615403,0.0127314600310414,0.00751288777996347,0.0101610194345893,-0.00277259752580334,0.00539766064975406,0.0112616369662844,0.000172037397597752,-0.00362631719664274,0.0051899560815821,0.0143798729646114,-0.0509114805462034,-0.0148548132574431,-0.0179317064195123,-0.0189902501271954,0.0295832636426758
"ERR9709206","MORE",-0.0362539318081193,-0.0314990067528083,-0.00577589546655168,-0.00107208129253747,-0.00514945519616486,0.0155277534937544,0.00484585742992462,0.000217600508706151,-0.00959897406870687,0.000505021366976021,0.00333320207978824,-0.00401903345012242,-0.0030825721530434,-0.010824929520208,0.0261566283493833,-0.00274827926906315,3.15961251959644e-05,0.00258572113707345,0.00773779827084871,-0.0111390387823009,0.00618956325979525,-0.00513932055419189,-0.00207649586421524,-0.00770626021923866,-0.00725610875512675,-0.00148672053880865,-0.00940439270745493,0.00135588205037193,0.00261201154077185,-0.00470435975259582,-0.00245714863728545,-0.0150397113376165,-0.0045972864969529,0.00724867555650775,0.0286544741029583,-0.0256646508256708,-0.0570696927337948,-0.00198210691333461,-0.00916689822212002,0.0650274914851418
"ERR9709208","MORE",-0.03246868595938,-0.0268847948248058,-0.010751659741234,-0.000207334330958087,-0.00414710797903828,0.00023340458620791,0.00123020213778669,-0.00379752857285453,-0.00666389271349628,0.00775815141640535,-0.00494516390320281,0.00702446740512623,-0.00770259443241175,0.0030228341821127,0.00656480119948749,-0.0042671833072219,0.00573088082338212,0.00844268978821294,0.00786645275656071,-0.00609893495976166,-0.00903745836145096,0.00705523281229236,-0.0107666283720977,0.00131550493511997,-0.00918434565976575,-0.00140384751105527,0.000352687122277644,0.00403544304720693,-0.00928137007757269,0.00171581098358389,0.0029276641539434,-0.00175069467249518,-0.0194324437854274,-0.0136805741912577,-0.0358043550420202,-0.0741062062766152,-0.0552872099364696,-0.0523687592152475,-0.0104522856967049,-0.0386017582091073
"ERR9709209","RISO",-0.0183382700289734,0.0564487279624257,-0.00296312465090649,-0.0651241190480305,-0.0543532943733203,0.0138403446066671,0.00441669130677941,-0.00946200862525342,0.0217139108700203,0.0233531183548156,-0.0171730748750612,-0.0578702918444223,0.0218249137525403,0.0145185430657644,-0.08215977336995,-0.00805425678127375,-0.0341385461938949,0.0417077361619739,-0.0325372219970426,-0.00458602956436352,0.0208047947695314,0.00156625885312961,0.059533161697854,0.0103866058743975,-0.0126077898715225,0.00249856440479841,0.0378280363791166,0.023950788150036,-0.0223408085751533,-0.0392893278466603,-0.0110754641780562,-0.0297297635101746,0.00756696567425288,0.0182691453330444,-0.00186064647936397,-0.00187459889109745,-0.0156577493378559,-0.0025480707145115,0.0083414079206708,-0.00602061044557715
"ERR9709210","RISO",-0.0288028938071717,-0.0188122075825743,-0.00551519565435356,-0.00974832760941133,0.00176415511264237,0.00173326059727569,-0.00333790807730397,-0.014668937306066,0.0128627005716058,-0.00683406363773902,0.00811985689768691,-0.000118920899278603,-0.0136305948913788,0.0176466949882505,0.0105152518335619,0.00870109153326041,-0.00726469320559603,-0.0111037886070535,-0.00502199923834303,0.0103453267490599,0.0134089382796458,0.00228439077776569,0.0200909650986467,-0.050956292145986,0.0274962826148438,0.0248658942444173,-0.0190213038907094,0.00670329991570538,-0.0537273103875794,-0.0440760800329618,-0.0113425265773414,0.113921923573003,-0.0578453940966401,0.0518932624395425,-0.0349791442455735,-0.0159978467383581,0.0357145776828674,0.0238575878726518,0.0158038891338222,-0.00567962097040374
"ERR9709211","RISO",-0.0365730865932649,-0.0378926038316969,-0.00294494548572296,-0.00922578708658084,-0.00666298006344312,0.0125704771272805,0.00320076435039905,-0.0121956912294056,0.00640047394302846,0.000537085637052219,0.000548560545056207,-0.009082027757026,-0.00592720391832659,-0.00151536367181912,0.0216336304210955,-0.00316443067214187,0.00786791512201107,0.00658360737574618,0.00574443984253933,-0.00713296861205928,0.011700796466194,-0.0114231577080339,0.013780777305078,0.00458294926974217,-0.0182865503000624,-0.000206901960363799,0.00425077282713673,-0.00620930662727599,0.0121043382018832,-0.0165932615898098,-0.0190193878034777,0.0171607158713405,0.00955137124842124,0.00700914020729079,0.00533113159317947,0.0353761425508628,-0.0655956360102389,-0.00332643146779756,0.0380618583717458,0.0965672877008559
"ERR9709212","RISO",-0.0240496557228239,0.00489806053600716,0.00682486898896707,-0.0181058116759999,-0.0397127391571343,-0.00785795718213747,0.0207706299819361,-0.00877355060885741,0.0143121929524118,0.000696201349034329,0.00361981274051511,-0.0145160434438256,0.0396579279674874,0.0299633455898474,-0.0356146077880519,0.0337111277141972,-0.0204774487435432,-0.0429307436673437,0.0570644548702272,0.0102432133000964,-0.046281461668405,-0.0306935611057254,-0.0297876163173689,-0.0732464961228382,-0.0388323520701077,0.0351222971505584,-0.00972540130183107,-0.0172023083456475,0.0186797478568525,0.0711866603431305,-0.0580600283858299,0.00795743504403651,0.0224035877134522,-0.00146012972872493,0.00881603081257201,-0.00836754803861861,0.00920408544128175,-0.0199584655545973,0.00344833784286699,-0.00658110599544492
"ERR9709213","MÅSE",-0.0283564396207279,0.0146406832109006,0.00535857086820898,-0.0161922979015538,-0.0177375878669677,0.0120743823292478,-0.00594284447444205,0.0183591782088026,0.0112555447290301,0.00520899589580419,-0.0162744232846434,-0.00638305840924672,-0.0294778417812281,-0.00923916739037573,0.0402701982620181,0.00967297264162186,-0.0145954391820915,-0.0325073620800073,-0.0124592999505284,0.00193887635596514,-0.0168618136417005,-0.0154006468371528,0.0104971282406805,-0.0223757440514288,0.044051313009659,-0.00556010384768333,-0.00543404296551083,0.00264463417215992,0.0188454091200659,-0.0289942242032851,0.0321897331064977,0.0044641187129147,0.0106970517400867,-0.0712936314851703,-0.0217251298799543,0.0195225002998586,-0.0376826393489779,-0.0550727803571988,0.0655612664720846,-0.0697689200719281
"ERR9709214","MÅSE",-0.0157198619731827,0.02354189238171,-0.00467081927968708,0.013136235910926,-0.0100449699728094,0.00484216247407102,-0.0047910847249584,0.0291216936051081,0.00836966470855676,0.00359664483150453,0.00459278417411382,-0.00381849566413736,-0.00555104822322169,-0.00956155927822364,0.0264611829296973,0.0195936666422577,0.00540482448870582,-0.0299344958705164,0.006219046280686,-0.0100298751274153,-0.0376193930955453,-0.00312152979027111,-0.0149642357457353,-0.00313371228196516,0.0310878763467627,0.0065895233165678,-0.0256721882932837,-0.01898062537878,0.0189020371917646,-0.0284968371801681,0.0130589883330767,-0.087418692884643,-0.0231243009238765,0.11203446982217,0.0265930574394929,-0.020219867788988,0.00360700169099024,0.0315859835699328,0.0484469813093046,-0.0198064772123578
"ERR9709215","MÅSE",-0.0150507702984811,0.0273563370346011,0.0156040496519636,-0.0121337096525438,-0.0196382118071029,0.0109750261404227,0.0103780163647745,0.0273086032845671,-0.00350502867575542,-0.00151570838182401,-0.00530803121013118,-0.00712436976095029,-0.0171766243957329,-0.00660294078545785,0.0363558993709591,0.0257300815770554,-0.0220674828526211,-0.0391869001509249,-0.0147169282067006,0.000513516874265645,-0.0264458162644805,-0.0170902504129558,0.0310004233823612,-0.0420119107105124,0.0453637513881477,0.00431227823711721,0.00420731003851509,-0.0197652000407982,0.000889669457112881,-0.02931256089771,0.0119936324743383,-0.0211017364677258,0.0301474072293169,-0.0603877719738333,-0.0143441478714721,0.0127058488669972,0.0295395815009836,0.0616822259519983,-0.0704406600964886,0.0497307425495127
"ERR9709216","KALI",0.0505553475628696,-0.0298371162424996,0.04339215750903,0.000200105387810659,-0.00264410540556653,-0.0434217223281931,-0.0585724015969738,0.00329585108563785,0.0775318485935974,-0.0803118083576437,0.019200444346869,-0.0228926474629218,0.0133557130698556,0.0231538658185429,0.00851274864381567,-0.0808015107874648,0.00919680535530865,-0.033488640251344,-0.00734360635769967,0.0130210715541307,-0.0378539585406858,0.0125924188422608,0.0358864803563124,0.00354486286778153,-0.0282887315884149,-0.0140744794625108,0.0106665987640748,-0.0294089170933989,0.0106384931139301,-0.017347790164248,-0.00346575146269759,-0.00539392757516903,0.000369544855736625,-0.000451730382009186,-0.00703368809531784,-0.00457379966778395,-0.00480105417243013,-0.00447436452174626,-0.00257317398376524,0.00069022312477757
"ERR9709217","KALI",0.0409523358853647,-0.0108110019334658,0.0444536259070742,0.0499261515960267,-0.0237205395218394,0.00214515579811512,-0.020066677920597,-0.000903239406224867,-0.0814937945124789,-0.00392315129710327,-0.0286582544465122,-0.0213812771376257,0.058770084676039,-0.0112255198280261,-0.0172188917287506,0.0209015553023064,0.0153006367910675,-0.0223068236631594,0.0104674836171441,-0.00439650925442689,-0.0123560539715878,-0.0297804571840687,-0.0402847946551268,0.0250719876336872,-0.0340242350669306,0.0512640236447869,0.0565642450535011,-0.000219276709114314,0.00865172928334841,-0.0608297665075704,0.0302784433201172,0.013343441587599,-0.015822059680723,-0.0071113744414713,-0.0344762677648114,0.00749562904611274,-0.00278601716488785,0.010373914456018,0.0144778159120113,0.00462414460079281
"ERR9709218","KALI",0.04423557227395,-0.0284537629640178,0.039770004392063,0.0436537709751013,-0.0206607547803529,-0.0107026380489882,-0.0622724050218731,-0.0128147548393903,-0.0799411767701377,0.0320974911432707,0.00333760958999224,-0.026874487395812,-0.00358911542519336,0.0182735268508341,-0.00154452655899836,0.0306331218858104,0.0033020038774838,0.0311248062155204,-0.0403172301769429,0.00716442091360474,0.00282531349522945,0.0288501044052795,0.0575458425576379,-0.0502530652365418,0.0207703035617759,-0.0597684475305251,-0.0269396335565586,-0.00438660412851676,0.014505142885338,0.0430314272790846,-0.0307111240799987,-0.00914463330364304,-0.00447940433577025,0.00534966660709145,0.00154808789440931,-0.00863812371131615,-0.00664661268950142,0.000917957872627406,0.00555891811191896,-0.0070561076056879
"ERR9709219","KALM",0.0402916584079093,0.00910401699831682,-0.00379287843334098,-0.0054036889328314,0.0196667100175627,0.0103978903095978,0.0144247027178045,0.0241271629826069,-0.022298658597314,-0.0402174976957541,-0.0245066046854985,-0.0474333217362119,-0.00179803921821412,0.0037169975071989,0.0309971833582104,0.0179317541058167,-0.0998619322996835,0.00184571391899532,0.0637488185931029,-0.0570615787636397,0.0192250528590339,0.0224112339189544,-0.00441073090449484,0.0192450354497345,-0.0477310591989483,-0.0506502143173297,-0.0521016417997305,0.00439741963327167,-0.0234813488472199,-0.00968031979606484,0.0227986590590993,0.0137409279457574,0.0111460981686834,0.00870382498710028,0.00026668738266169,0.00746503399943042,0.00962922721451768,-0.00977458681525457,-0.00560575278606408,-0.00439976438639031
