"sample_title","sample_accession","run_accession","scientific_name","library_name","base_count","Accession","sample_description","tissue_type","geographic location (region and locality)"
"BAL_22_HER009b","SAMEA14369590","ERR9709125","Clupea harengus","HER009E1bL2",2286105192,"ERS11963819","Baltic Autumn Spawning herring","bone","Mala Nieszawka, Poland, 14th-15th century"
"BAL_22_HER009c","SAMEA14369591","ERR9709126","Clupea harengus","HER009E1bL2",8926383060,"ERS11963820","Baltic Autumn Spawning herring","bone","Mala Nieszawka, Poland, 14th-15th century"
"BAL_22_HER009d","SAMEA14369592","ERR9709127","Clupea harengus","HER009E1bL3",2113025144,"ERS11963821","Baltic Autumn Spawning herring","bone","Mala Nieszawka, Poland, 14th-15th century"
"BAL_22_HER035","SAMEA14369593","ERR9709128","Clupea harengus","HER035E1bL2",2112098608,"ERS11963822","Western Baltic Autumn Spawning herring","bone","Kaldus, Poland, 12th century"
"BAL_22_HER036a","SAMEA14369594","ERR9709129","Clupea harengus","HER036E1bL1",1016204934,"ERS11963823","Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER036b","SAMEA14369595","ERR9709130","Clupea harengus","HER036E1bL2",1575411086,"ERS11963824","Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER036c","SAMEA14369596","ERR9709131","Clupea harengus","HER036E1bL3",1635650724,"ERS11963825","Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER036d","SAMEA14369597","ERR9709132","Clupea harengus","HER036E1bL4",4263218334,"ERS11963826","Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER037a","SAMEA14369598","ERR9709133","Clupea harengus","HER037E1bL3",1646824724,"ERS11963827","Western Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER037b","SAMEA14369599","ERR9709134","Clupea harengus","HER037E1bL4",11450574620,"ERS11963828","Western Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER038a","SAMEA14369600","ERR9709135","Clupea harengus","HER038E1bL1",533038758,"ERS11963829","Western Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER038b","SAMEA14369601","ERR9709136","Clupea harengus","HER038E1bL1",14335231508,"ERS11963830","Western Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER038c","SAMEA14369602","ERR9709137","Clupea harengus","HER038E1bL2",994040550,"ERS11963831","Western Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
"BAL_22_HER038d","SAMEA14369603","ERR9709138","Clupea harengus","HER038E1bL2",21346909562,"ERS11963832","Western Baltic Autumn Spawning herring","bone","Truso (Janów Pomorski), Poland, 800-850 CE"
