"sample_title","sample_accession","run_accession","scientific_name","library_name","base_count","Accession","sample_description","tissue_type","geographic location (region and locality)"
"BAL_22_M-HER035","SAMEA14369698","ERR9709232","Clupea harengus","M-HER035",17666334694,"ERS11963926","Atlantic Spring Spawning herring","tissue","Måseskär, Sweden, 2003"
"BAL_22_M-HER036","SAMEA14369699","ERR9709233","Clupea harengus","M-HER036",16003218882,"ERS11963927","Atlantic Spring Spawning herring","tissue","Måseskär, Sweden, 2003"
"BAL_22_M-HER037","SAMEA14369700","ERR9709234","Clupea harengus","M-HER037",15987533304,"ERS11963928","Atlantic Spring Spawning herring","tissue","Måseskär, Sweden, 2003"
"BAL_22_M-HER038","SAMEA14369701","ERR9709235","Clupea harengus","M-HER038",16070797422,"ERS11963929","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003"
"BAL_22_M-HER039","SAMEA14369702","ERR9709236","Clupea harengus","M-HER039",12996757844,"ERS11963930","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003"
"BAL_22_M-HER044","SAMEA14369703","ERR9709237","Clupea harengus","M-HER044",20096199816,"ERS11963931","Atlantic Spring Spawning herring","fin tip","Idefjord - Outer, Norway, 2010"
"BAL_22_M-HER045","SAMEA14369704","ERR9709238","Clupea harengus","M-HER045",16197661280,"ERS11963932","Atlantic Spring Spawning herring","tissue","Idefjord - Outer, Norway, 2010"
"BAL_22_M-HER046","SAMEA14369705","ERR9709239","Clupea harengus","M-HER046",19719202042,"ERS11963933","Atlantic Spring Spawning herring","tissue","Idefjord - Outer, Norway, 2010"
"BAL_22_M-HER052","SAMEA14369706","ERR9709240","Clupea harengus","M-HER052",17375275248,"ERS11963934","Baltic Spring Spawning herring","tissue","Kalmarsund, Sweden, 2010"
"BAL_22_M-HER053","SAMEA14369707","ERR9709241","Clupea harengus","M-HER053",14738021592,"ERS11963935","Atlantic Spring Spawning herring","tissue","Karmoy, Norway, 2002"
"BAL_22_M-HER054","SAMEA14369708","ERR9709242","Clupea harengus","M-HER054",18112742034,"ERS11963936","Baltic Spring Spawning herring","tissue","Kalix, Finland, 2002"
"BAL_22_M-HER055","SAMEA14369709","ERR9709243","Clupea harengus","M-HER055",17706328554,"ERS11963937","Baltic Spring Spawning herring","tissue","Kalix, Finland, 2002"
"BAL_22_M-HER056","SAMEA14369710","ERR9709244","Clupea harengus","M-HER056",18509756066,"ERS11963938","Baltic Spring Spawning herring","tissue","Kalix, Finland, 2002"
"BAL_22_M-HER057","SAMEA14369711","ERR9709245","Clupea harengus","M-HER057",15309945266,"ERS11963939","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010"
"BAL_22_M-HER058","SAMEA14369712","ERR9709246","Clupea harengus","M-HER058",24665772688,"ERS11963940","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010"
"BAL_22_M-HER059","SAMEA14369713","ERR9709247","Clupea harengus","M-HER059",15749399962,"ERS11963941","Baltic Spring Spawning herring","tissue","Blekinge, Sweden, 2010"
"BAL_22_M-HER061","SAMEA14369714","ERR9709248","Clupea harengus","M-HER061",18900037310,"ERS11963942","Atlantic Spring Spawning herring","tissue","Idefjord - Inner, Norway, 2010"
"BAL_22_M-HER062","SAMEA14369715","ERR9709249","Clupea harengus","M-HER062",15528906440,"ERS11963943","Atlantic Spring Spawning herring","tissue","Idefjord - Inner, Norway, 2010"
"BAL_22_M-HER063","SAMEA14369716","ERR9709250","Clupea harengus","M-HER063",12635043384,"ERS11963944","Atlantic Spring Spawning herring","fin tip","Idefjord - Outer, Norway, 2010"
"BAL_22_M-HER064","SAMEA14369717","ERR9709251","Clupea harengus","M-HER064",12005162588,"ERS11963945","Atlantic Spring Spawning herring","fin tip","Idefjord - Outer, Norway, 2010"
"BAL_22_M-HER065","SAMEA14369718","ERR9709252","Clupea harengus","M-HER065",18323072350,"ERS11963946","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003"
"BAL_22_M-HER066","SAMEA14369719","ERR9709253","Clupea harengus","M-HER066",13133216242,"ERS11963947","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003"
