sample_accession	run_accession	scientific_name	library_name	base_count	sample_title
SAMEA14369615	ERR9709150	Clupea harengus	HER042E1bL2	1667240528	BAL_22_HER042b
SAMEA14369700	ERR9709234	Clupea harengus	M-HER037	15987533304	BAL_22_M-HER037
SAMEA14369701	ERR9709235	Clupea harengus	M-HER038	16070797422	BAL_22_M-HER038
SAMEA14369617	ERR9709152	Clupea harengus	HER043E1bL2	988751322	BAL_22_HER043a
SAMEA14369703	ERR9709237	Clupea harengus	M-HER044	20096199816	BAL_22_M-HER044
SAMEA14369618	ERR9709153	Clupea harengus	HER043E1bL2	21246043072	BAL_22_HER043b
SAMEA14369704	ERR9709238	Clupea harengus	M-HER045	16197661280	BAL_22_M-HER045
SAMEA14369619	ERR9709154	Clupea harengus	HER044E1bL2	426228002	BAL_22_HER044
SAMEA14369706	ERR9709240	Clupea harengus	M-HER052	17375275248	BAL_22_M-HER052
SAMEA14369622	ERR9709157	Clupea harengus	HER045E1bL3	772433554	BAL_22_HER045c
SAMEA14369624	ERR9709159	Clupea harengus	HER046E1bL1	1473592994	BAL_22_HER046a
SAMEA14369709	ERR9709243	Clupea harengus	M-HER055	17706328554	BAL_22_M-HER055
SAMEA14369625	ERR9709160	Clupea harengus	HER046E1bL2	813449986	BAL_22_HER046b
SAMEA14369710	ERR9709244	Clupea harengus	M-HER056	18509756066	BAL_22_M-HER056
SAMEA14369631	ERR9709166	Clupea harengus	HER047E1bL4	2671116916	BAL_22_HER047e
SAMEA14369715	ERR9709249	Clupea harengus	M-HER062	15528906440	BAL_22_M-HER062
SAMEA14369636	ERR9709171	Clupea harengus	HER051E1bL3	1666805950	BAL_22_HER051c
SAMEA14369719	ERR9709253	Clupea harengus	M-HER066	13133216242	BAL_22_M-HER066
SAMEA14369640	ERR9709175	Clupea harengus	HER055E1bL1	1853677812	BAL_22_HER055a
SAMEA14369647	ERR9709182	Clupea harengus	HER057E1bL1	1712863668	BAL_22_HER057a
SAMEA14369648	ERR9709183	Clupea harengus	HER057E1bL2	1584470784	BAL_22_HER057b
SAMEA14369650	ERR9709185	Clupea harengus	HER059E1bL2	22361361084	BAL_22_HER059b
SAMEA14369653	ERR9709188	Clupea harengus	HER110E1bL2	16445030084	BAL_22_HER110b
SAMEA14369657	ERR9709192	Clupea harengus	HER113E1bL2	3236564502	BAL_22_HER113
SAMEA14369658	ERR9709193	Clupea harengus	HER114E1bL2	1286763110	BAL_22_HER114
SAMEA14369665	ERR9709200	Clupea harengus	HER118E1bL2	1315984026	BAL_22_HER118d
SAMEA14369667	ERR9709202	Clupea harengus	M-HER001	15386454852	BAL_22_M-HER001
SAMEA14369671	ERR9709205	Clupea harengus	M-HER005	7763336122	BAL_22_M-HER005
SAMEA14369673	ERR9709207	Clupea harengus	M-HER007	16931183040	BAL_22_M-HER007
SAMEA14369678	ERR9709212	Clupea harengus	M-HER012	15681726594	BAL_22_M-HER012
SAMEA14369682	ERR9709216	Clupea harengus	M-HER016	17054693188	BAL_22_M-HER016
SAMEA14369686	ERR9709220	Clupea harengus	M-HER020	11510357634	BAL_22_M-HER020
SAMEA14369688	ERR9709222	Clupea harengus	M-HER022	17725051648	BAL_22_M-HER022
SAMEA14369690	ERR9709224	Clupea harengus	M-HER024	15155926474	BAL_22_M-HER024
SAMEA14369691	ERR9709225	Clupea harengus	M-HER025	21165140292	BAL_22_M-HER025
SAMEA14369696	ERR9709230	Clupea harengus	M-HER030	22224888190	BAL_22_M-HER030
SAMEA14369702	ERR9709236	Clupea harengus	M-HER039	12996757844	BAL_22_M-HER039
SAMEA14369708	ERR9709242	Clupea harengus	M-HER054	18112742034	BAL_22_M-HER054
SAMEA14369712	ERR9709246	Clupea harengus	M-HER058	24665772688	BAL_22_M-HER058
SAMEA14369557	ERR9709092	Clupea harengus	HER001E1bL1	474444684	BAL_2_HER001a
SAMEA14369558	ERR9709093	Clupea harengus	HER001E1bL2	3090278772	BAL_22_HER001b
SAMEA14369564	ERR9709099	Clupea harengus	HER003E1bL1	5886720	BAL_22_HER003a
SAMEA14369565	ERR9709100	Clupea harengus	HER003E1bL2	938270340	BAL_22_HER003b
SAMEA14369566	ERR9709101	Clupea harengus	HER003E1bL2	1545193440	BAL_22_HER003c
SAMEA14369568	ERR9709103	Clupea harengus	HER003E1bL3	6186772	BAL_22_HER003e
SAMEA14369572	ERR9709107	Clupea harengus	HER004E1bL2	3278951928	BAL_22_HER004d
SAMEA14369573	ERR9709108	Clupea harengus	HER004E1bL3	73369994	BAL_22_HER004e
SAMEA14369574	ERR9709109	Clupea harengus	HER005E1bL1	755070624	BAL_22_HER005a
SAMEA14369579	ERR9709114	Clupea harengus	HER006E1bL2	2549668716	BAL_22_HER006b
SAMEA14369580	ERR9709115	Clupea harengus	HER006E1bL3	680329594	BAL_22_HER006c
SAMEA14369582	ERR9709117	Clupea harengus	HER007E1bL2	2339395128	BAL_22_HER007b
SAMEA14369584	ERR9709119	Clupea harengus	HER007E1bL3	440099466	BAL_22_HER007d
SAMEA14369586	ERR9709121	Clupea harengus	HER008E1bL2	801887688	BAL_22_HER008b
SAMEA14369588	ERR9709123	Clupea harengus	HER008E1bL3	347327784	BAL_22_HER008d
SAMEA14369594	ERR9709129	Clupea harengus	HER036E1bL1	1016204934	BAL_22_HER036a
SAMEA14369597	ERR9709132	Clupea harengus	HER036E1bL4	4263218334	BAL_22_HER036d
SAMEA14369600	ERR9709135	Clupea harengus	HER038E1bL1	533038758	BAL_22_HER038a
SAMEA14369602	ERR9709137	Clupea harengus	HER038E1bL2	994040550	BAL_22_HER038c
SAMEA14369606	ERR9709141	Clupea harengus	HER039E1bL1	819428076	BAL_22_HER039a
SAMEA14369609	ERR9709144	Clupea harengus	HER039E1bL3	27599971166	BAL_22_HER039d
SAMEA14369610	ERR9709145	Clupea harengus	HER039E1bL3	818468622	BAL_22_HER039e
SAMEA14369611	ERR9709146	Clupea harengus	HER040E1bL2	751064034	BAL_22_HER040
SAMEA14369613	ERR9709148	Clupea harengus	HER041E1bL2	68051782758	BAL_22_HER041b
SAMEA14369616	ERR9709151	Clupea harengus	HER042E1bL2	40698142120	BAL_22_HER042c
SAMEA14369621	ERR9709156	Clupea harengus	HER045E1bL2	3115957782	BAL_22_HER045b
SAMEA14369626	ERR9709161	Clupea harengus	HER046E1bL2	10423497082	BAL_22_HER046c
SAMEA14369627	ERR9709162	Clupea harengus	HER047E1bL1	2361302968	BAL_22_HER047a
SAMEA14369628	ERR9709163	Clupea harengus	HER047E1bL1	90549880382	BAL_22_HER047b
SAMEA14369629	ERR9709164	Clupea harengus	HER047E1bL2	775199270	BAL_22_HER047c
SAMEA14369630	ERR9709165	Clupea harengus	HER047E1bL3	2503378566	BAL_22_HER047d
SAMEA14369633	ERR9709168	Clupea harengus	HER050E1bL1	8247486818	BAL_22_HER050
SAMEA14369634	ERR9709169	Clupea harengus	HER051E1bL1	576268246	BAL_22_HER051a
SAMEA14369635	ERR9709170	Clupea harengus	HER051E1bL1	19368892914	BAL_22_HER051b
SAMEA14369641	ERR9709176	Clupea harengus	HER055E1bL2	1558679380	BAL_22_HER055b
