sample	KARM	MORE	RISO	MASE	KALI	KALM	IDEI	BLEK	IDEO
KARM	0	-0.00136	0.00737	0.01843	0.03679	0.02567	0.01783	0.02611	0.02053
MORE	-0.00136	0	0.00211	0.00558	0.02024	0.01296	0.00487	0.01066	-0.01099
RISO	0.00737	0.00211	0	-0.00047	0.0214	0.01071	0.00029	0.01244	-0.01755
MASE	0.01843	0.00558	-0.00047	0	0.02368	0.01585	0.00196	0.01223	-0.01753
KALI	0.03679	0.02024	0.0214	0.02368	0	-0.00049	0.04328	0.0057	0.01322
KALM	0.02567	0.01296	0.01071	0.01585	-0.00049	0	0.02493	-0.00255	-0.00366
IDEI	0.01783	0.00487	0.00029	0.00196	0.04328	0.02493	0	0.01952	0.02148
BLEK	0.02611	0.01066	0.01244	0.01223	0.0057	-0.00255	0.01952	0	0.00375
IDEO	0.02053	-0.01099	-0.01755	-0.01753	0.01322	-0.00366	0.02148	0.00375	0
