sample_name	bam	population	colony
SRR5221677	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221677_minq20.nocig.realigned.bam	FAS	C_3522
SRR5221678	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221678_minq20.nocig.realigned.bam	FAS	C_3522
SRR5221679	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221679_minq20.nocig.realigned.bam	FAS	C_3521
SRR5221680	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221680_minq20.nocig.realigned.bam	FAS	C_3521
SRR5221681	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221681_minq20.nocig.realigned.bam	FAS	C_3521
SRR5221683	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221683_minq20.nocig.realigned.bam	FAS	C_3520
SRR5221684	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221684_minq20.nocig.realigned.bam	FAS	C_3520
SRR5221685	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221685_minq20.nocig.realigned.bam	FAS	C_3520
SRR5221686	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221686_minq20.nocig.realigned.bam	FAS	C_3519
SRR5221687	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221687_minq20.nocig.realigned.bam	FAS	C_3519
SRR5221688	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221688_minq20.nocig.realigned.bam	FAS	C_3519
SRR5221689	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221689_minq20.nocig.realigned.bam	FAS	C_3518
SRR5221690	/maps/projects/tomg/people/sjr729/echarvel_bam/bee/4x_realigned/unclassified-seq_SRR5221690_minq20.nocig.realigned.bam	FAS	C_3518
