"cleaned_id","sample_id","species","sample_title","sample_accession","scientific_name","library_name","base_count","Accession","sample_description","tissue_type","geographic location (region and locality)","population","coverage","error_rate","genome_length","read_length"
"ERR9709202","unclassified-kra_ERR9709202_","Clupea","BAL_22_M-HER001","SAMEA14369667","Clupea harengus","M-HER001",15386454852,"ERS11963896","Atlantic Spring Spawning herring","tissue","Karmoy, Norway, 2002","KARM",11.1157571863514,0.00421620177781756,720050395,157
"ERR9709203","unclassified-kra_ERR9709203_","Clupea","BAL_22_M-HER002","SAMEA14369669","Clupea harengus","M-HER002",8856244526,"ERS11963897","Atlantic Spring Spawning herring","tissue","Karmoy, Norway, 2002","KARM",6.52748937528029,0.0194768732157136,923544021,153
"ERR9709204","unclassified-kra_ERR9709204_","Clupea","BAL_22_M-HER003","SAMEA14369670","Clupea harengus","M-HER003",14252886980,"ERS11963898","Atlantic Spring Spawning herring","tissue","Karmoy, Norway, 2002","KARM",7.09251098960926,0.00438315958036528,808930819,149
"ERR9709206","unclassified-kra_ERR9709206_","Clupea","BAL_22_M-HER006","SAMEA14369672","Clupea harengus","M-HER006",11814029506,"ERS11963900","Atlantic Spring Spawning herring","tissue","More, Norway, 2002","MORE",8.30158146374207,0.00469129829979952,747204101,159
"ERR9709208","unclassified-kra_ERR9709208_","Clupea","BAL_22_M-HER008","SAMEA14369674","Clupea harengus","M-HER008",13166245982,"ERS11963902","Atlantic Spring Spawning herring","tissue","More, Norway, 2002","MORE",8.12822232041543,0.00431772447384359,742377142,154
"ERR9709209","unclassified-kra_ERR9709209_","Clupea","BAL_22_M-HER009","SAMEA14369675","Clupea harengus","M-HER009",21581909956,"ERS11963903","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003","RISO",16.9859588001841,0.00417918460705835,674672781,157
"ERR9709210","unclassified-kra_ERR9709210_","Clupea","BAL_22_M-HER010","SAMEA14369676","Clupea harengus","M-HER010",17897150576,"ERS11963904","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003","RISO",11.2325112905756,0.00423607544984727,737246911,153
"ERR9709211","unclassified-kra_ERR9709211_","Clupea","BAL_22_M-HER011","SAMEA14369677","Clupea harengus","M-HER011",16376773554,"ERS11963905","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003","RISO",8.65942269729454,0.00468952250949905,803639697,153
"ERR9709212","unclassified-kra_ERR9709212_","Clupea","BAL_22_M-HER012","SAMEA14369678","Clupea harengus","M-HER012",15681726594,"ERS11963906","Atlantic Spring Spawning herring","tissue","Risor, Norway, 2003","RISO",11.1323051159761,0.00402264063580803,734511256,158
"ERR9709213","unclassified-kra_ERR9709213_","Clupea","BAL_22_M-HER013","SAMEA14369679","Clupea harengus","M-HER013",20490731408,"ERS11963907","Atlantic Spring Spawning herring","tissue","Måseskär, Sweden, 2003","MÅSE",12.5311385554142,0.00401154555061789,705090799,149
