sample	KARM	MORE	RISO	MÅSE	KALI	KALM	IDEI	BLEK	IDEO
KARM	0	-0.014	0.00582	0.01991	0.03929	0.04153	0.01826	0.02505	0.01429
MORE	-0.014	0	0.00913	0.02353	0.03317	0.04045	0.01822	0.03272	0.00888
RISO	0.00582	0.00913	0	0.00323	0.03713	0.02652	0.01298	0.01613	-0.00071
MÅSE	0.01991	0.02353	0.00323	0	0.03471	0.03399	-0.00254	0.02194	-0.00089
KALI	0.03929	0.03317	0.03713	0.03471	0	0.0024	0.02826	0.00348	0.0253
KALM	0.04153	0.04045	0.02652	0.03399	0.0024	0	0.0186	-0.00274	0.01671
IDEI	0.01826	0.01822	0.01298	-0.00254	0.02826	0.0186	0	0.00278	-0.00159
BLEK	0.02505	0.03272	0.01613	0.02194	0.00348	-0.00274	0.00278	0	0.01561
IDEO	0.01429	0.00888	-0.00071	-0.00089	0.0253	0.01671	-0.00159	0.01561	0
