sample	KARM	MORE	RISO	MÅSE	KALI	KALM	IDEI	BLEK	IDEO
KARM	0	-0.01409	0.0058	0.01972	0.03853	0.04069	0.01809	0.02474	0.01419
MORE	-0.01409	0	0.00908	0.02326	0.03263	0.03965	0.01806	0.03219	0.00885
RISO	0.0058	0.00908	0	0.00323	0.03645	0.02618	0.01289	0.016	-0.00071
MÅSE	0.01972	0.02326	0.00323	0	0.03412	0.03342	-0.00255	0.0217	-0.00089
KALI	0.03853	0.03263	0.03645	0.03412	0	0.00239	0.02787	0.00347	0.02499
KALM	0.04069	0.03965	0.02618	0.03342	0.00239	0	0.01842	-0.00275	0.01658
IDEI	0.01809	0.01806	0.01289	-0.00255	0.02787	0.01842	0	0.00277	-0.00159
BLEK	0.02474	0.03219	0.016	0.0217	0.00347	-0.00275	0.00277	0	0.01549
IDEO	0.01419	0.00885	-0.00071	-0.00089	0.02499	0.01658	-0.00159	0.01549	0
