sample_accession	run_accession	scientific_name	library_name	base_count	sample_alias	sample_title
SAMN34152203	SRR24138642	Clupea harengus	AF30_Norway_Atlantic_Spring_rg3	2457654600	AF30_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152214	SRR24138650	Clupea harengus	BM14_HastKar_Baltic_Spring_rg3	2191731200	BM14_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152214	SRR24138651	Clupea harengus	BM14_HastKar_Baltic_Spring_rg2	2298796400	BM14_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152213	SRR24138654	Clupea harengus	BF21_HastKar_Baltic_Spring_rg5	2431780400	BF21_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152213	SRR24138655	Clupea harengus	BF21_HastKar_Baltic_Spring_rg4	2278527800	BF21_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152213	SRR24138658	Clupea harengus	BF21_HastKar_Baltic_Spring_rg1	2244796800	BF21_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152212	SRR24138662	Clupea harengus	BF19_HastKar_Baltic_Spring_rg2	2664896000	BF19_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152203	SRR24138664	Clupea harengus	AF30_Norway_Atlantic_Spring_rg1	2238381000	AF30_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152211	SRR24138665	Clupea harengus	BF18_HastKar_Baltic_Spring_rg5	2904495600	BF18_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152197	SRR24138668	Clupea harengus	PB6_Galve_Baltic_Summer_rg1	3346057029	PB6_Galve_Baltic_Summer	Model organism or animal sample from Clupea harengus
SAMN34152197	SRR24138669	Clupea harengus	PB6_Galve_Baltic_Summer_rg11	3494661903	PB6_Galve_Baltic_Summer	Model organism or animal sample from Clupea harengus
SAMN34152197	SRR24138670	Clupea harengus	PB6_Galve_Baltic_Summer_rg10	3431257428	PB6_Galve_Baltic_Summer	Model organism or animal sample from Clupea harengus
SAMN34152200	SRR24138671	Clupea harengus	PB5_Galve_Baltic_Spring_rg9	3166372693	PB5_Galve_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152200	SRR24138675	Clupea harengus	PB5_Galve_Baltic_Spring_rg6	2697372778	PB5_Galve_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152200	SRR24138677	Clupea harengus	PB5_Galve_Baltic_Spring_rg4	2729515479	PB5_Galve_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152200	SRR24138680	Clupea harengus	PB5_Galve_Baltic_Spring_rg1	2953781073	PB5_Galve_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152199	SRR24138683	Clupea harengus	PB4_Hudiksvall_Baltic_Spring_rg9	4025442573	PB4_Hudiksvall_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152205	SRR24138685	Clupea harengus	AF8_Norway_Atlantic_Spring_rg2	2306251600	AF8_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152199	SRR24138690	Clupea harengus	PB4_Hudiksvall_Baltic_Spring_rg3	3408798972	PB4_Hudiksvall_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152199	SRR24138693	Clupea harengus	PB4_Hudiksvall_Baltic_Spring_rg11	3920437374	PB4_Hudiksvall_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152192	SRR24138696	Clupea harengus	PB10_Skagerrak_Atlantic_Spring_rg11	3596190068	PB10_Skagerrak_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152190	SRR24138707	Clupea harengus	N_NorthSea_Atlantic_Autumn_rg1	2493727859	N_NorthSea_Atlantic_Autumn	Model organism or animal sample from Clupea harengus
SAMN34152190	SRR24138712	Clupea harengus	N_NorthSea_Atlantic_Autumn_rg12	2492176004	N_NorthSea_Atlantic_Autumn	Model organism or animal sample from Clupea harengus
SAMN34152203	SRR24138715	Clupea harengus	AF30_Norway_Atlantic_Spring_rg4	2268346400	AF30_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152217	SRR24138716	Clupea harengus	BM19_HastKar_Baltic_Spring_rg5	2272203000	BM19_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152217	SRR24138719	Clupea harengus	BM19_HastKar_Baltic_Spring_rg2	2402294200	BM19_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152216	SRR24138722	Clupea harengus	BM16_HastKar_Baltic_Spring_rg4	2301309000	BM16_HastKar_Baltic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152206	SRR24138724	Clupea harengus	AM27_Norway_Atlantic_Spring_rg1	2602321400	AM27_Norway_Atlantic_Spring	Model organism or animal sample from Clupea harengus
SAMN34152189	SRR24138726	Clupea pallasii	PB8_Pacific_Pacific_Spring_rg3	2761570676	PB8_Pacific_Pacific_Spring	Model organism or animal sample from Clupea pallasii
