NC_079164.1	1
NC_079165.1	2
NC_079166.1	3
NC_079167.1	4
NC_079168.1	5
NC_079169.1	6
NC_079170.1	7
NC_079171.1	8
NC_079172.1	9
NC_079173.1	10
