sample_name	species	population	bam
CLEW_03	Ostrea_edulis	CLEW	/projects/mjolnir1/people/sjr729/Skmer_ms/Oedulis/HC/HC_fastq/mapped/CLEW_03_EKDL220000317-1a-AK19153-AK31203_HWHVMDSX2_L1_bbmap_sorted.bam
HYPP_04	Ostrea_edulis	HYPP	/projects/mjolnir1/people/sjr729/Skmer_ms/Oedulis/HC/HC_fastq/mapped/HYPP_04_EKDL220000316-1a-AK19284-AK31207_HWHMNDSX2_L4_bbmap_sorted.bam
HYPP_06	Ostrea_edulis	HYPP	/projects/mjolnir1/people/sjr729/Skmer_ms/Oedulis/HC/HC_fastq/mapped/HYPP_06_EKDL220000315-1a-AK19202-AK18625_HWHMNDSX2_L1and2Merged_bbmap_sorted.bam
NISS_08	Ostrea_edulis	NISS	/projects/mjolnir1/people/sjr729/Skmer_ms/Oedulis/HC/HC_fastq/mapped/NISS_08_EKDL220000316-1a-AK19154-AK31214_HWHMNDSX2_L4_bbmap_sorted.bam
NISS_13	Ostrea_edulis	NISS	/projects/mjolnir1/people/sjr729/Skmer_ms/Oedulis/HC/HC_fastq/mapped/NISS_13_EKDL220000317-1a-AK31212-AK31213_HWHVMDSX2_L1_bbmap_sorted.bam
ORIS_17	Ostrea_edulis	ORIS	/projects/mjolnir1/people/sjr729/Skmer_ms/Oedulis/HC/HC_fastq/mapped/ORIS_17_EKDL220000315-1a-AK31218-AK31219_HWHMNDSX2_L1and2Merged_bbmap_sorted.bam
ORIS_19	Ostrea_edulis	ORIS	/projects/mjolnir1/people/sjr729/Skmer_ms/Oedulis/HC/HC_fastq/mapped/ORIS_19_EKDL220000315-1a-AK19073-AK31217_HWHMNDSX2_L1and2Merged_bbmap_sorted.bam
PONT_03	Ostrea_edulis	PONT	/projects/mjolnir1/people/sjr729/Skmer_ms/Oedulis/HC/HC_fastq/mapped/PONT_03_EKDL220000315-1a-AK19049-AK31216_HWHMNDSX2_L1and2Merged_bbmap_sorted.bam
PONT_13	Ostrea_edulis	PONT	/projects/mjolnir1/people/sjr729/Skmer_ms/Oedulis/HC/HC_fastq/mapped/PONT_13_EKDL220000317-1a-AK31208-AK31209_HWHVMDSX2_L1_bbmap_sorted.bam
