"BLEK"	"IDEI"	"IDEO"	"KALI"	"KALM"	"KARM"	"MASE"	"MORE"	"RISO"
"BLEK"	0	0.05599	0.055398	0.048228	0.06078	0.070781	0.056258	0.092341	0.050334
"IDEI"	0.05599	0	0.050361	0.057059	0.06969	0.06753	0.052046	0.088767	0.045706
"IDEO"	0.055398	0.050361	0	0.055499	0.068307	0.060736	0.048809	0.082571	0.040672
"KALI"	0.048228	0.057059	0.055499	0	0.060714	0.069775	0.056819	0.091164	0.050055
"KALM"	0.06078	0.06969	0.068307	0.060714	0	0.08495	0.06999	0.10807	0.062561
"KARM"	0.070781	0.06753	0.060736	0.069775	0.08495	0	0.061833	0.089655	0.050328
"MASE"	0.056258	0.052046	0.048809	0.056819	0.06999	0.061833	0	0.083874	0.042308
"MORE"	0.092341	0.088767	0.082571	0.091164	0.10807	0.089655	0.083874	0	0.072187
"RISO"	0.050334	0.045706	0.040672	0.050055	0.062561	0.050328	0.042308	0.072187	0
