sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
unclassified-kra_unclassified-seq_ERR9709213__merged.hist	516897119	65194006	7145987	2961564	1661565	1042103	709457	348566	348647	398852	301549	148716	95367	157466	195374	79325	45727	61044	117923	64201	41643	13012	30817	59921	61737	34297	7743	2492	5901	82613	39983	11879	4750	547	10782	53897	15494	8450	1689	92	33532	29051	15419	5781	962	319	142	46	14	76357
unclassified-kra_unclassified-seq_ERR9709210__merged.hist	503653443	79343227	8464147	3482616	1959797	1231132	826669	406154	388035	443911	323683	159632	121052	199875	177930	56613	76361	101939	105030	57182	37090	13571	64462	125342	7372	4391	10451	27869	75480	37739	11181	3321	1327	152	105751	7054	2027	1104	219	11	37174	37624	19970	7487	1246	414	184	60	19	86905
unclassified-kra_unclassified-seq_ERR9709206__merged.hist	469012956	100717231	10021416	4021848	2289197	1446776	964638	531328	255530	292325	340989	280870	107833	89087	110533	159947	118611	49420	28134	69252	107174	33490	19302	37531	73639	40909	9236	2973	4495	62937	57460	17072	6827	786	249	14	60951	42785	8556	474	157	63	96	50148	8357	2784	1247	414	137	65482
unclassified-kra_unclassified-seq_ERR9709253__merged.hist	452970556	128629446	12502684	4960432	2843098	1803205	951541	820064	322899	248916	290353	328098	226775	125360	66561	96317	152778	173161	27547	23951	45239	74063	132091	38650	3039	9724	23142	61712	56074	28036	8305	2466	12280	36840	58550	3658	1050	572	113	25589	48884	20033	10633	3986	663	220	97	31	9	95634
unclassified-kra_unclassified-seq_ERR9709208__merged.hist	470012471	111115931	11012473	4411183	2517234	1592965	997092	653015	257123	294148	343115	326165	125223	103709	128675	186199	113833	47429	28102	69174	130662	62484	27075	7921	12788	40921	97391	41994	13997	6997	2072	614	44915	73987	23540	1470	421	229	44	40044	42510	17421	9246	3466	576	191	84	27	8	94544
unclassified-kra_unclassified-seq_ERR9709214__merged.hist	463203999	120595355	11857810	4732467	2699900	1708375	1021331	689313	271416	280088	326715	352114	135185	96426	119638	173123	141668	59027	24594	60539	114351	83884	36349	10635	12529	40094	95422	36700	12232	6115	1810	537	78428	43987	13994	873	250	135	26	45785	45800	18769	9962	3734	621	206	91	29	8	96567
unclassified-kra_unclassified-seq_ERR9709241__merged.hist	498946762	74593231	7858964	3221611	1824047	1149615	892905	438697	271430	310515	362206	239485	91944	94534	117292	169727	101941	42474	34337	84521	113637	35510	15387	13964	29838	95481	38547	12412	4136	2067	21275	42550	56400	6505	2068	128	35	20240	65591	3642	1213	496	262	39854	6641	2212	990	329	108	71863
unclassified-kra_unclassified-seq_ERR9709247__merged.hist	459479447	132028047	13123883	5264162	2981260	1879239	1159916	569883	314324	359585	419446	328577	126149	116736	144839	209589	120821	50341	45147	111130	105441	32949	20422	39709	84853	68945	15567	5012	13030	79090	23433	6961	10115	30344	68297	4267	1225	667	132	23396	57348	23502	12474	4676	778	258	114	37	11	102956
unclassified-kra_unclassified-seq_ERR9709220__merged.hist	445837449	123328176	11983452	4753101	2719486	1723271	930326	723720	284963	258083	301046	340181	160399	88668	86739	125515	199092	86513	13762	27617	52164	85400	98065	28694	4034	12909	30724	81931	32499	16248	4813	1429	22338	67015	26943	1682	482	262	51	28928	47287	19379	10285	3856	641	212	94	30	9	90591
unclassified-kra_unclassified-seq_ERR9709217__merged.hist	514130204	59007521	6518683	2706713	1515510	949419	605142	297314	356930	408327	234171	115486	92423	152605	189342	65699	41132	54909	115598	62936	40822	12755	35434	68898	50621	28122	6349	2043	6119	85678	35468	10537	4214	485	153	24039	48156	26266	5252	290	95	38	46575	17746	2956	984	440	145	47	67720
unclassified-kra_unclassified-seq_ERR9709221__merged.hist	516515975	48017028	5472595	2287881	1283679	805117	638530	313718	270180	309085	293035	144517	68394	112929	140115	121646	70124	29217	22972	56547	106810	33377	14462	11627	24844	79501	25404	16961	25448	12723	3768	1118	46224	42750	13601	849	243	131	25	41091	29590	12126	6435	2412	401	132	58	18	5	73573
unclassified-kra_unclassified-seq_ERR9709242__merged.hist	509249623	55003997	6098214	2534344	1425115	894921	688096	338071	289016	330634	297275	146608	75701	124994	155085	94263	54339	45574	95944	52235	33881	19250	91436	28549	5261	16836	40069	67198	22398	11198	3317	984	14467	43402	58390	3648	1047	570	113	5	42883	22388	11882	4455	741	246	109	35	10	69013
unclassified-kra_unclassified-seq_ERR9709244__merged.hist	502462418	70680998	7552434	3109174	1746849	1096416	721607	354535	328145	375397	289160	142606	106113	175210	197522	62847	42769	57095	120199	65441	42447	13263	39790	77369	48720	27066	6110	1966	72913	36455	10800	3208	3660	10979	81609	5099	1465	798	158	7	47559	26989	14325	5371	894	297	132	43	13	73483
unclassified-kra_unclassified-seq_ERR9709238__merged.hist	513761920	60084413	6626844	2750620	1543690	968320	699430	343639	298451	341427	324365	159968	75321	124367	154306	132006	76096	31705	37960	93439	101142	31605	13694	10862	23211	74274	49203	15844	5280	2639	30217	46892	18755	2162	687	45034	12946	7060	1411	77	39831	24259	12876	4827	803	266	118	38	11	74694
unclassified-kra_unclassified-seq_ERR9709236__merged.hist	452885277	127517397	12300933	4859546	2789651	1770692	880127	781424	307684	231321	269828	304905	220743	122026	63144	91213	144683	191286	30430	16566	31292	51228	141481	41398	3461	11076	26360	70293	46662	23330	6911	2052	23845	71534	22760	1421	407	221	43	53598	34643	14196	7534	2824	469	155	68	21	6	98323
unclassified-kra_unclassified-seq_ERR9709234__merged.hist	516241275	61126281	6770366	2812963	1574132	985827	587204	288501	391057	447369	224777	110854	132631	218994	155795	49570	47205	63017	132668	72229	46850	14639	14594	28377	60637	81489	18399	5924	1973	985	46607	13847	64238	19190	6105	380	108	58	10	64124	26366	10805	5734	2149	357	118	51	16	4	86073
unclassified-kra_unclassified-seq_ERR9709248__merged.hist	501214915	61385599	6643406	2744280	1538714	964701	617332	303303	301010	344355	295724	145843	78506	129626	160831	105260	60678	30157	63488	96601	62659	19580	11947	23229	49638	80778	18239	5872	1956	977	26812	53623	45681	5268	1675	103	28	14	27490	47416	15804	6476	3436	1287	213	70	30	11378	43670	26201
