sample	KARM	MORE	RISO	MÅSE	KALI	KALM	IDEI	BLEK	IDEO
KARM	0	0.03521	0.00113	0.04935	0.10076	0.03949	-0.00859	0.02814	0.07681
MORE	0.03521	0	-0.00225	0.06094	0.07104	0.08079	-0.03372	0.02582	0.03368
RISO	0.00113	-0.00225	0	0.01073	0.07583	0.03056	-0.02054	0.03962	0.0335
MÅSE	0.04935	0.06094	0.01073	0	0.06418	0.02477	-0.05318	0.05252	0.02219
KALI	0.10076	0.07104	0.07583	0.06418	0	-0.00597	0.01313	0.02135	0.09116
KALM	0.03949	0.08079	0.03056	0.02477	-0.00597	0	-0.0801	-0.01593	0.05797
IDEI	-0.00859	-0.03372	-0.02054	-0.05318	0.01313	-0.0801	0	-0.07707	0.02171
BLEK	0.02814	0.02582	0.03962	0.05252	0.02135	-0.01593	-0.07707	0	0.06405
IDEO	0.07681	0.03368	0.0335	0.02219	0.09116	0.05797	0.02171	0.06405	0
