sample	KARM	MORE	RISO	MÅSE	KALI	KALM	IDEI	BLEK	IDEO
KARM	0	0.017	-0.00218	0.019	0.05833	0.0892	0.03748	0.03102	0.01556
MORE	0.017	0	0.00607	0.02972	0.08006	0.08105	0.04959	0.04001	0.02016
RISO	-0.00218	0.00607	0	0.00808	0.05727	0.08397	0.04419	0.03022	0.01036
MÅSE	0.019	0.02972	0.00808	0	0.06308	0.06807	-0.00141	0.03871	0.01396
KALI	0.05833	0.08006	0.05727	0.06308	0	0.02402	0.01188	-0.02791	-0.00285
KALM	0.0892	0.08105	0.08397	0.06807	0.02402	0	-0.0032	-0.03219	-0.01668
IDEI	0.03748	0.04959	0.04419	-0.00141	0.01188	-0.0032	0	-0.0134	-0.01361
BLEK	0.03102	0.04001	0.03022	0.03871	-0.02791	-0.03219	-0.0134	0	0.00744
IDEO	0.01556	0.02016	0.01036	0.01396	-0.00285	-0.01668	-0.01361	0.00744	0
