sample	KARM	MORE	RISO	MÅSE	KALI	KALM	IDEI	BLEK	IDEO
KARM	0	0.01759	-0.00213	0.01914	0.05823	0.09336	0.03788	0.03065	0.01568
MORE	0.01759	0	0.00569	0.02909	0.07566	0.07985	0.04931	0.03731	0.01854
RISO	-0.00213	0.00569	0	0.00822	0.05826	0.08714	0.04549	0.03041	0.01003
MÅSE	0.01914	0.02909	0.00822	0	0.0643	0.06986	-0.0014	0.03905	0.01377
KALI	0.05823	0.07566	0.05826	0.0643	0	0.02462	0.01233	-0.02753	-0.00282
KALM	0.09336	0.07985	0.08714	0.06986	0.02462	0	-0.00321	-0.0314	-0.01654
IDEI	0.03788	0.04931	0.04549	-0.0014	0.01233	-0.00321	0	-0.01297	-0.01322
BLEK	0.03065	0.03731	0.03041	0.03905	-0.02753	-0.0314	-0.01297	0	0.00738
IDEO	0.01568	0.01854	0.01003	0.01377	-0.00282	-0.01654	-0.01322	0.00738	0
