sample	KARM	MORE	RISO	MÅSE	KALI	KALM	IDEI	BLEK	IDEO
KARM	0	-0.00292	0.01013	0.01815	0.02979	0.02331	0.02025	0.02277	0.02543
MORE	-0.00292	0	0.00322	0.00614	0.01653	0.01531	0.01103	0.0106	0.01331
RISO	0.01013	0.00322	0	-0.00015	0.02	0.01433	0.00452	0.01242	-0.00399
MÅSE	0.01815	0.00614	-0.00015	0	0.02121	0.01781	0.00143	0.01309	-0.00271
KALI	0.02979	0.01653	0.02	0.02121	0	0.00098	0.01488	0.00414	0.01849
KALM	0.02331	0.01531	0.01433	0.01781	0.00098	0	0.00924	0.00082	0.01284
IDEI	0.02025	0.01103	0.00452	0.00143	0.01488	0.00924	0	0.00811	0.00039
BLEK	0.02277	0.0106	0.01242	0.01309	0.00414	0.00082	0.00811	0	0.01075
IDEO	0.02543	0.01331	-0.00399	-0.00271	0.01849	0.01284	0.00039	0.01075	0
